Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,DAL,W,117,111,48,94,.511,9,18,.500,12,15,.800,14,50,20,11,6,13,18,,38,86,.442,17,45,.378,18,21,.857,9,41,27,5,4,15,19
2,2,2017-10-20,@,CHO,L,91,109,36,95,.379,7,30,.233,12,14,.857,6,38,19,11,4,13,29,,37,86,.430,11,36,.306,24,30,.800,12,57,17,5,4,21,18
3,3,2017-10-22,@,BRK,L,104,116,32,94,.340,7,27,.259,33,36,.917,16,48,21,6,2,16,25,,41,87,.471,11,27,.407,23,34,.676,13,51,27,12,8,18,27
4,4,2017-10-23,@,MIA,L,93,104,36,76,.474,7,17,.412,14,18,.778,6,41,14,9,1,20,17,,39,85,.459,14,37,.378,12,18,.667,10,41,21,12,6,19,19
5,5,2017-10-26,@,CHI,L,86,91,32,81,.395,11,28,.393,11,13,.846,7,40,22,10,5,10,23,,31,86,.360,7,32,.219,22,29,.759,18,62,20,5,4,13,15
6,6,2017-10-27,,DEN,L,100,105,37,89,.416,14,33,.424,12,12,1.000,11,43,23,7,4,12,21,,42,91,.462,4,20,.200,17,23,.739,11,46,24,8,4,11,12
7,7,2017-10-29,,MIL,L,106,117,36,77,.468,13,29,.448,21,26,.808,3,31,27,9,2,16,21,,44,81,.543,13,26,.500,16,21,.762,5,43,30,9,3,14,27
8,8,2017-11-01,@,PHI,L,109,119,41,94,.436,8,23,.348,19,27,.704,12,49,22,11,4,18,28,,46,99,.465,13,35,.371,14,25,.560,15,53,36,10,4,16,26
9,9,2017-11-03,,HOU,L,104,119,39,81,.481,11,33,.333,15,18,.833,5,41,16,8,8,18,16,,42,89,.472,16,47,.340,19,23,.826,9,44,28,14,4,12,16
10,10,2017-11-05,@,CLE,W,117,115,41,86,.477,11,25,.440,24,34,.706,11,44,24,4,6,17,20,,42,96,.438,10,36,.278,21,23,.913,15,47,27,6,6,13,29
11,11,2017-11-06,,BOS,L,107,110,39,81,.481,13,26,.500,16,20,.800,5,36,24,8,4,14,22,,39,81,.481,14,36,.389,18,22,.818,7,42,28,3,3,13,21
12,12,2017-11-10,@,DET,L,104,111,44,89,.494,8,24,.333,8,11,.727,11,45,28,11,7,15,21,,39,89,.438,12,30,.400,21,27,.778,20,51,23,7,5,17,18
13,13,2017-11-11,@,WAS,L,94,113,34,83,.410,14,33,.424,12,17,.706,10,32,19,11,1,24,23,,42,78,.538,7,24,.292,22,28,.786,11,42,22,14,10,23,22
14,14,2017-11-13,@,NOP,L,105,106,40,87,.460,17,36,.472,8,9,.889,10,36,25,14,1,16,18,,41,75,.547,13,33,.394,11,17,.647,7,38,31,10,5,19,13
15,15,2017-11-15,,SAC,W,126,80,50,79,.633,16,32,.500,10,16,.625,9,53,40,9,6,18,23,,31,88,.352,6,28,.214,12,20,.600,11,29,18,12,2,12,19
16,16,2017-11-18,,BOS,L,99,110,37,78,.474,9,24,.375,16,20,.800,6,35,24,7,1,13,19,,39,82,.476,16,34,.471,16,20,.800,9,41,21,9,6,15,22
17,17,2017-11-20,@,SAS,L,85,96,37,85,.435,8,30,.267,3,8,.375,9,38,21,7,7,15,15,,40,89,.449,10,31,.323,6,6,1.000,14,52,29,7,5,18,17
18,18,2017-11-22,,LAC,L,103,116,40,83,.482,10,29,.345,13,15,.867,9,36,26,10,2,15,20,,44,76,.579,15,30,.500,13,19,.684,6,33,30,7,4,15,15
19,19,2017-11-24,,NYK,W,116,104,47,99,.475,13,31,.419,9,12,.750,13,40,30,7,2,9,16,,40,79,.506,12,30,.400,12,14,.857,5,38,30,1,9,20,19
20,20,2017-11-25,,TOR,L,78,112,26,75,.347,6,27,.222,20,23,.870,7,32,18,9,1,18,15,,46,84,.548,13,32,.406,7,9,.778,11,46,31,10,3,16,22
21,21,2017-11-30,,CLE,L,114,121,41,79,.519,12,31,.387,20,24,.833,8,29,24,9,4,17,20,,41,79,.519,18,39,.462,21,27,.778,12,40,30,9,5,19,20
22,22,2017-12-02,@,BRK,W,114,102,47,99,.475,10,27,.370,10,14,.714,13,47,18,12,5,8,19,,34,82,.415,17,42,.405,17,21,.810,12,46,26,1,8,19,18
23,23,2017-12-04,,BRK,L,90,110,30,82,.366,9,30,.300,21,27,.778,9,38,18,9,2,18,19,,41,85,.482,15,36,.417,13,15,.867,12,52,29,7,6,22,28
24,24,2017-12-06,@,ORL,L,106,110,40,93,.430,11,27,.407,15,20,.750,11,49,25,7,3,17,16,,46,98,.469,6,28,.214,12,18,.667,13,52,17,9,7,16,23
25,25,2017-12-09,,ORL,W,117,110,41,80,.513,17,33,.515,18,25,.720,9,40,33,7,6,12,13,,45,92,.489,13,34,.382,7,8,.875,10,39,39,7,2,12,24
26,26,2017-12-10,@,NYK,L,107,111,37,77,.481,9,31,.290,24,30,.800,6,35,22,5,4,16,28,,39,80,.488,5,17,.294,28,34,.824,6,33,16,9,4,12,30
27,27,2017-12-12,@,CLE,L,114,123,43,92,.467,16,36,.444,12,13,.923,10,37,26,8,4,10,17,,48,86,.558,20,38,.526,7,10,.700,6,37,35,5,2,13,18
28,28,2017-12-14,,DET,L,91,105,32,70,.457,11,31,.355,16,26,.615,7,34,28,6,6,16,12,,41,90,.456,13,30,.433,10,12,.833,14,46,26,10,3,15,23
29,29,2017-12-15,@,MEM,L,94,96,34,77,.442,12,31,.387,14,16,.875,7,35,27,12,5,17,19,,36,78,.462,12,25,.480,12,17,.706,10,43,21,12,6,21,24
30,30,2017-12-18,,MIA,W,110,104,38,83,.458,8,22,.364,26,31,.839,10,39,25,8,6,12,23,,36,79,.456,7,25,.280,25,30,.833,8,42,19,9,6,19,28
31,31,2017-12-20,,IND,L,95,105,35,80,.438,8,29,.276,17,20,.850,10,42,27,5,6,13,17,,40,82,.488,7,21,.333,18,19,.947,8,37,19,5,5,9,18
32,32,2017-12-22,@,OKC,L,117,120,44,85,.518,15,32,.469,14,17,.824,7,27,28,12,3,15,24,,44,82,.537,13,25,.520,19,31,.613,15,40,24,11,5,19,18
33,33,2017-12-23,,DAL,W,112,107,42,75,.560,10,24,.417,18,22,.818,6,38,29,5,2,15,19,,43,85,.506,9,33,.273,12,15,.800,7,30,31,8,3,10,17
34,34,2017-12-27,,WAS,W,113,99,41,94,.436,11,37,.297,20,29,.690,16,53,28,7,7,11,21,,35,81,.432,9,24,.375,20,26,.769,9,40,24,6,5,13,24
35,35,2017-12-29,@,TOR,L,98,111,38,88,.432,9,24,.375,13,20,.650,14,48,21,6,7,18,15,,46,105,.438,13,37,.351,6,8,.750,19,51,22,9,15,11,22
36,36,2017-12-30,,POR,W,104,89,40,89,.449,14,30,.467,10,15,.667,13,45,29,12,3,13,16,,36,85,.424,7,25,.280,10,13,.769,15,46,19,9,8,20,18
37,37,2018-01-02,@,PHO,L,103,104,36,87,.414,10,31,.323,21,25,.840,17,40,18,11,3,16,22,,39,77,.506,7,22,.318,19,27,.704,11,47,24,7,4,21,22
38,38,2018-01-05,@,POR,L,89,110,30,83,.361,8,26,.308,21,25,.840,11,39,14,7,5,16,16,,43,80,.538,13,30,.433,11,14,.786,6,44,30,11,5,15,20
39,39,2018-01-07,@,LAL,L,113,132,41,94,.436,12,34,.353,19,23,.826,10,37,22,5,4,15,16,,48,86,.558,16,36,.444,20,25,.800,6,49,32,13,6,18,25
40,40,2018-01-08,@,LAC,L,107,108,38,96,.396,10,37,.270,21,29,.724,19,56,20,9,8,14,26,,38,85,.447,9,18,.500,23,34,.676,14,47,16,10,9,16,25
41,41,2018-01-10,@,DEN,W,110,97,40,80,.500,12,27,.444,18,18,1.000,6,44,25,6,4,16,23,,38,95,.400,9,37,.243,12,20,.600,14,40,27,13,6,12,18
42,42,2018-01-12,,BRK,L,105,110,37,80,.463,11,28,.393,20,26,.769,8,46,21,6,3,18,25,,40,87,.460,13,34,.382,17,26,.654,13,43,29,8,1,14,24
43,43,2018-01-15,,SAS,W,102,99,40,86,.465,9,25,.360,13,14,.929,11,50,23,8,2,15,23,,37,87,.425,8,22,.364,17,20,.850,8,37,24,12,5,9,13
