Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-19,@,TOR,L,100,117,37,89,.416,10,32,.313,16,19,.842,10,39,22,7,2,19,23,,39,83,.470,13,29,.448,26,28,.929,13,49,26,10,4,17,19
2,2,2017-10-21,,SAS,L,77,87,31,82,.378,8,28,.286,7,9,.778,8,48,18,3,5,19,15,,38,93,.409,1,12,.083,10,16,.625,14,52,25,8,3,11,14
3,3,2017-10-24,@,CLE,L,112,119,42,88,.477,17,33,.515,11,13,.846,8,39,28,3,3,9,20,,43,83,.518,16,38,.421,17,22,.773,8,39,28,5,3,9,14
4,4,2017-10-26,,ATL,W,91,86,31,86,.360,7,32,.219,22,29,.759,18,62,20,5,4,13,15,,32,81,.395,11,28,.393,11,13,.846,7,40,22,10,5,10,23
5,5,2017-10-28,,OKC,L,69,101,22,78,.282,10,37,.270,15,20,.750,12,47,16,9,5,19,16,,39,88,.443,13,34,.382,10,14,.714,11,52,28,16,8,11,17
6,6,2017-11-01,@,MIA,L,91,97,36,89,.404,7,28,.250,12,19,.632,7,54,20,7,6,12,19,,34,83,.410,12,31,.387,17,19,.895,3,48,21,8,0,11,19
7,7,2017-11-03,@,ORL,W,105,83,40,85,.471,14,29,.483,11,12,.917,9,48,23,6,2,14,13,,35,86,.407,10,35,.286,3,5,.600,7,38,23,6,2,16,11
8,8,2017-11-04,,NOP,L,90,96,35,99,.354,11,42,.262,9,12,.750,16,58,23,10,5,17,19,,35,87,.402,9,31,.290,17,22,.773,5,52,23,9,4,13,9
9,9,2017-11-07,@,TOR,L,114,119,40,80,.500,11,29,.379,23,28,.821,8,37,26,10,2,13,23,,44,81,.543,13,25,.520,18,24,.750,7,37,22,5,0,15,22
10,10,2017-11-10,,IND,L,87,105,37,93,.398,7,27,.259,6,9,.667,11,43,24,10,3,12,13,,43,84,.512,12,29,.414,7,12,.583,7,51,27,8,3,18,17
11,11,2017-11-11,@,SAS,L,94,133,40,86,.465,6,23,.261,8,13,.615,5,28,22,9,4,13,15,,51,85,.600,18,27,.667,13,16,.813,8,44,33,5,6,13,16
12,12,2017-11-15,@,OKC,L,79,92,26,75,.347,11,29,.379,16,20,.800,6,38,16,7,2,13,27,,26,72,.361,8,30,.267,32,37,.865,11,48,15,7,2,13,19
13,13,2017-11-17,,CHO,W,123,120,47,91,.516,17,34,.500,12,13,.923,4,35,26,9,2,11,23,,42,81,.519,10,21,.476,26,34,.765,5,42,19,3,2,12,15
14,14,2017-11-19,@,PHO,L,105,113,42,101,.416,12,36,.333,9,14,.643,12,47,20,5,1,11,21,,45,89,.506,7,27,.259,16,22,.727,9,48,32,5,4,12,16
15,15,2017-11-21,@,LAL,L,94,103,36,94,.383,11,36,.306,11,16,.688,15,54,22,4,4,14,19,,36,90,.400,13,40,.325,18,25,.720,12,53,23,7,6,12,16
16,16,2017-11-22,@,UTA,L,80,110,29,78,.372,5,21,.238,17,20,.850,8,43,15,3,1,16,21,,40,86,.465,14,35,.400,16,19,.842,8,45,23,10,5,7,15
17,17,2017-11-24,@,GSW,L,94,143,35,99,.354,13,36,.361,11,15,.733,13,40,18,7,2,15,17,,53,91,.582,16,36,.444,21,21,1.000,6,49,36,11,11,11,15
18,18,2017-11-26,,MIA,L,93,100,33,89,.371,14,33,.424,13,16,.813,7,47,25,10,2,13,18,,34,75,.453,13,32,.406,19,23,.826,1,45,19,9,5,12,14
19,19,2017-11-28,,PHO,L,99,104,38,94,.404,16,40,.400,7,10,.700,9,41,27,11,7,9,20,,38,87,.437,11,30,.367,17,23,.739,13,57,25,4,4,15,12
20,20,2017-11-30,@,DEN,L,110,111,44,82,.537,9,24,.375,13,21,.619,6,40,25,4,4,11,27,,38,83,.458,12,31,.387,23,31,.742,11,44,22,7,4,12,19
21,21,2017-12-01,,SAC,L,106,107,42,90,.467,13,36,.361,9,13,.692,8,38,30,8,2,8,16,,45,85,.529,6,18,.333,11,14,.786,8,43,29,5,10,12,15
22,22,2017-12-04,,CLE,L,91,113,34,82,.415,9,34,.265,14,18,.778,10,43,21,4,5,11,16,,42,81,.519,13,36,.361,16,17,.941,5,46,22,6,2,7,13
23,23,2017-12-06,@,IND,L,96,98,39,83,.470,10,26,.385,8,16,.500,11,46,18,3,5,16,15,,39,87,.448,12,34,.353,8,10,.800,7,39,21,7,5,13,14
24,24,2017-12-08,@,CHO,W,119,111,48,99,.485,6,18,.333,17,22,.773,6,56,23,5,7,14,29,,40,100,.400,10,29,.345,21,29,.724,9,50,22,7,11,11,21
25,25,2017-12-09,,NYK,W,104,102,42,82,.512,7,25,.280,13,23,.565,8,40,28,10,7,14,19,,43,91,.473,7,24,.292,9,9,1.000,8,40,25,6,3,14,17
