Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,ATL,L,111,117,38,86,.442,17,45,.378,18,21,.857,9,41,27,5,4,15,19,,48,94,.511,9,18,.500,12,15,.800,14,50,20,11,6,13,18
2,2,2017-10-20,,SAC,L,88,93,31,75,.413,11,33,.333,15,21,.714,7,36,19,8,7,12,13,,37,87,.425,10,23,.435,9,13,.692,16,57,20,8,3,14,18
3,3,2017-10-21,@,HOU,L,91,107,31,84,.369,13,31,.419,16,21,.762,8,41,19,6,0,14,19,,39,82,.476,11,47,.234,18,22,.818,8,54,17,12,4,13,24
4,4,2017-10-23,,GSW,L,103,133,38,96,.396,9,29,.310,18,30,.600,14,42,21,11,0,12,20,,48,86,.558,15,39,.385,22,26,.846,10,50,33,6,8,16,23
5,5,2017-10-25,,MEM,W,103,94,36,74,.486,11,26,.423,20,29,.690,4,35,20,6,4,11,20,,33,72,.458,12,31,.387,16,24,.667,6,36,14,7,2,17,22
6,6,2017-10-26,@,MEM,L,91,96,32,94,.340,10,34,.294,17,20,.850,18,53,20,10,3,14,22,,30,73,.411,10,34,.294,26,30,.867,9,46,18,7,6,18,23
7,7,2017-10-28,,PHI,L,110,112,38,74,.514,19,40,.475,15,19,.789,3,33,22,7,2,17,15,,43,87,.494,16,35,.457,10,14,.714,11,42,25,10,1,13,21
8,8,2017-10-30,@,UTA,L,89,104,34,76,.447,12,24,.500,9,11,.818,9,42,17,4,3,24,16,,38,81,.469,16,35,.457,12,15,.800,6,35,25,16,8,14,17
9,9,2017-11-01,@,LAC,L,98,119,35,89,.393,12,36,.333,16,20,.800,9,38,20,8,5,14,22,,41,78,.526,13,28,.464,24,29,.828,7,49,27,9,5,16,20
10,10,2017-11-03,,NOP,L,94,99,34,88,.386,9,34,.265,17,22,.773,9,47,19,4,7,15,24,,36,89,.404,7,29,.241,20,26,.769,9,53,23,9,4,12,22
11,11,2017-11-04,@,MIN,L,99,112,40,86,.465,10,27,.370,9,12,.750,7,31,18,7,2,16,19,,43,79,.544,10,24,.417,16,20,.800,10,48,33,7,8,18,20
12,12,2017-11-07,@,WAS,W,113,99,43,91,.473,11,30,.367,16,20,.800,11,53,26,6,8,11,23,,32,75,.427,10,25,.400,25,32,.781,3,39,21,5,5,15,19
13,13,2017-11-11,,CLE,L,104,111,39,92,.424,10,34,.294,16,21,.762,9,42,21,7,3,10,26,,35,81,.432,12,31,.387,29,35,.829,10,53,18,8,3,17,18
14,14,2017-11-12,@,OKC,L,99,112,37,87,.425,11,37,.297,14,18,.778,11,41,18,9,4,20,20,,36,72,.500,15,32,.469,25,33,.758,3,37,21,10,4,15,23
15,15,2017-11-14,,SAS,L,91,97,33,81,.407,10,34,.294,15,18,.833,5,40,18,7,4,15,23,,35,79,.443,6,26,.231,21,27,.778,8,47,18,9,7,12,16
16,16,2017-11-17,,MIN,L,87,111,32,86,.372,8,38,.211,15,17,.882,11,41,18,3,3,11,20,,39,84,.464,13,30,.433,20,23,.870,11,48,27,7,0,10,18
17,17,2017-11-18,,MIL,W,111,79,38,79,.481,19,38,.500,16,19,.842,7,49,27,7,2,16,26,,28,74,.378,6,25,.240,17,31,.548,8,38,13,8,5,12,25
18,18,2017-11-20,,BOS,L,102,110,39,96,.406,7,33,.212,17,20,.850,8,45,18,7,3,11,22,,38,84,.452,13,36,.361,21,26,.808,5,53,24,8,4,17,24
19,19,2017-11-22,@,MEM,W,95,94,39,91,.429,9,28,.321,8,16,.500,4,40,23,9,2,8,14,,37,81,.457,7,29,.241,13,14,.929,6,52,25,7,6,17,25
20,20,2017-11-25,,OKC,W,97,81,37,75,.493,15,35,.429,8,11,.727,8,43,25,11,5,17,18,,29,80,.363,13,35,.371,10,13,.769,8,39,24,12,1,17,16
21,21,2017-11-27,@,SAS,L,108,115,41,85,.482,14,32,.438,12,17,.706,4,40,25,7,0,11,19,,43,82,.524,10,24,.417,19,21,.905,4,43,27,7,5,10,16
22,22,2017-11-29,,BRK,L,104,109,39,84,.464,9,27,.333,17,21,.810,7,44,26,5,3,11,23,,42,90,.467,11,29,.379,14,25,.560,14,52,25,5,1,14,21
23,23,2017-12-02,,LAC,W,108,82,36,79,.456,16,35,.457,20,26,.769,15,54,24,4,7,15,20,,30,86,.349,6,22,.273,16,23,.696,11,38,16,8,6,10,20
24,24,2017-12-04,,DEN,W,122,105,49,86,.570,12,26,.462,12,17,.706,5,42,26,4,6,7,18,,38,91,.418,14,36,.389,15,23,.652,15,49,25,5,5,7,19
25,25,2017-12-06,@,BOS,L,90,97,34,86,.395,9,28,.321,13,17,.765,6,45,19,7,5,9,12,,36,87,.414,12,34,.353,13,17,.765,9,53,25,8,8,11,15
26,26,2017-12-08,@,MIL,L,102,109,35,75,.467,10,24,.417,22,26,.846,4,36,18,6,2,11,22,,36,79,.456,8,24,.333,29,34,.853,7,40,20,10,6,10,24
27,27,2017-12-10,@,MIN,L,92,97,37,81,.457,11,31,.355,7,9,.778,6,33,23,6,5,10,22,,36,72,.500,7,19,.368,18,23,.783,9,45,19,7,2,18,19
28,28,2017-12-12,,SAS,W,95,89,38,89,.427,9,24,.375,10,12,.833,8,49,17,8,2,6,19,,35,87,.402,7,28,.250,12,19,.632,10,49,20,4,5,10,11
