Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,BRK,W,140,131,53,102,.520,9,34,.265,25,32,.781,14,47,29,12,9,14,25,,45,94,.479,12,30,.400,29,32,.906,11,43,22,7,2,20,25
2,2,2017-10-20,,POR,L,96,114,35,78,.449,4,18,.222,22,33,.667,6,39,15,1,4,12,17,,46,95,.484,9,19,.474,13,17,.765,11,51,19,5,6,9,26
3,3,2017-10-21,@,MIA,L,108,112,43,96,.448,7,19,.368,15,21,.714,13,45,18,9,4,10,18,,45,87,.517,14,34,.412,8,14,.571,6,45,24,6,11,14,19
4,4,2017-10-24,@,MIN,W,130,107,56,84,.667,10,22,.455,8,11,.727,8,42,31,8,2,17,21,,42,86,.488,9,24,.375,14,22,.636,9,27,27,9,4,14,14
5,5,2017-10-25,@,OKC,L,96,114,28,83,.337,10,29,.345,30,35,.857,14,41,13,13,2,19,23,,43,89,.483,10,27,.370,18,26,.692,16,49,26,8,8,20,27
6,6,2017-10-29,,SAS,W,97,94,36,77,.468,10,22,.455,15,20,.750,6,44,21,9,3,19,20,,36,90,.400,9,28,.321,13,18,.722,12,44,19,12,8,15,11
7,7,2017-10-31,,SAC,W,101,83,36,85,.424,12,29,.414,17,22,.773,14,53,25,8,7,14,17,,37,88,.420,2,14,.143,7,14,.500,9,45,15,8,5,14,18
8,8,2017-11-01,@,CLE,W,124,107,49,90,.544,16,26,.615,10,13,.769,8,43,35,9,1,11,23,,43,86,.500,7,31,.226,14,20,.700,8,41,25,6,3,16,19
9,9,2017-11-03,@,PHI,L,110,121,45,97,.464,8,28,.286,12,19,.632,8,40,25,6,6,11,18,,46,92,.500,18,36,.500,11,14,.786,12,50,34,7,9,18,20
10,10,2017-11-05,@,NYK,L,101,108,37,79,.468,12,25,.480,15,17,.882,4,34,24,6,2,12,17,,44,88,.500,6,23,.261,14,19,.737,12,46,24,8,7,12,21
11,11,2017-11-07,,NOP,L,112,117,44,93,.473,9,24,.375,15,18,.833,11,41,19,4,4,10,21,,44,87,.506,14,35,.400,15,22,.682,11,43,23,6,5,12,18
12,12,2017-11-08,@,DET,L,97,114,38,88,.432,7,24,.292,14,18,.778,7,38,22,8,3,15,24,,43,83,.518,12,27,.444,16,25,.640,8,50,25,3,5,15,22
13,13,2017-11-10,@,CHI,W,105,87,43,84,.512,12,29,.414,7,12,.583,7,51,27,8,3,18,17,,37,93,.398,7,27,.259,6,9,.667,11,43,24,10,3,12,13
14,14,2017-11-12,,HOU,L,95,118,37,83,.446,8,22,.364,13,21,.619,7,41,18,5,7,13,15,,43,90,.478,17,47,.362,15,18,.833,10,47,24,10,5,13,20
15,15,2017-11-15,@,MEM,W,116,113,43,85,.506,12,24,.500,18,20,.900,5,36,29,6,6,12,17,,44,86,.512,8,32,.250,17,22,.773,11,43,29,5,10,14,19
16,16,2017-11-17,,DET,W,107,100,39,89,.438,15,28,.536,14,21,.667,13,51,22,4,5,10,13,,39,93,.419,14,33,.424,8,10,.800,11,43,20,4,8,11,18
17,17,2017-11-19,@,MIA,W,120,95,51,85,.600,11,23,.478,7,8,.875,9,42,33,9,7,12,14,,35,83,.422,13,37,.351,12,14,.857,10,35,21,8,2,14,11
18,18,2017-11-20,@,ORL,W,105,97,37,89,.416,8,20,.400,23,29,.793,8,48,25,17,4,12,25,,35,84,.417,13,38,.342,14,23,.609,11,50,23,6,7,22,20
19,19,2017-11-24,,TOR,W,107,104,38,83,.458,11,26,.423,20,27,.741,10,41,19,10,3,16,18,,40,81,.494,9,30,.300,15,20,.750,7,42,17,14,4,18,20
20,20,2017-11-25,,BOS,L,98,108,38,78,.487,7,23,.304,15,15,1.000,10,36,20,9,2,18,14,,45,80,.563,10,25,.400,8,9,.889,4,30,22,8,4,14,13
21,21,2017-11-27,,ORL,W,121,109,42,79,.532,15,26,.577,22,26,.846,8,43,25,7,8,14,18,,40,92,.435,16,41,.390,13,16,.813,10,35,22,4,9,14,23
