Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-19,@,LAL,W,108,92,42,107,.393,12,33,.364,12,13,.923,17,59,23,12,3,14,20,,37,91,.407,4,16,.250,14,23,.609,12,52,21,8,7,19,15
2,2,2017-10-21,,PHO,W,130,88,48,88,.545,12,26,.462,22,30,.733,10,52,26,11,2,12,32,,27,71,.380,6,24,.250,28,38,.737,4,36,19,8,3,19,27
3,3,2017-10-24,,UTA,W,102,84,39,83,.470,10,29,.345,14,21,.667,11,44,21,12,4,13,16,,34,79,.430,7,28,.250,9,11,.818,8,41,20,7,7,18,23
4,4,2017-10-26,@,POR,W,104,103,36,77,.468,9,28,.321,23,36,.639,14,46,11,4,5,11,19,,35,89,.393,14,31,.452,19,22,.864,16,44,19,5,4,9,26
5,5,2017-10-28,,DET,L,87,95,28,84,.333,15,38,.395,16,22,.727,15,51,19,6,6,18,18,,36,88,.409,9,28,.321,14,21,.667,12,50,16,11,6,12,20
6,6,2017-10-30,,GSW,L,113,141,39,86,.453,10,25,.400,25,30,.833,9,35,21,4,3,12,20,,52,89,.584,14,29,.483,23,30,.767,14,46,37,8,8,12,23
7,7,2017-11-01,,DAL,W,119,98,41,78,.526,13,28,.464,24,29,.828,7,49,27,9,5,16,20,,35,89,.393,12,36,.333,16,20,.800,9,38,20,8,5,14,22
8,8,2017-11-04,,MEM,L,104,113,38,83,.458,4,26,.154,24,31,.774,15,43,18,7,7,13,22,,40,84,.476,13,31,.419,20,24,.833,9,39,21,8,7,11,28
9,9,2017-11-05,,MIA,L,101,104,34,87,.391,9,31,.290,24,30,.800,18,50,16,11,4,15,22,,37,84,.440,14,36,.389,16,19,.842,10,37,23,12,6,16,26
10,10,2017-11-07,@,SAS,L,107,120,42,82,.512,11,30,.367,12,17,.706,10,39,20,6,4,17,19,,45,84,.536,15,28,.536,15,19,.789,11,39,33,13,3,13,21
11,11,2017-11-10,@,OKC,L,111,120,39,84,.464,12,30,.400,21,30,.700,16,46,13,4,2,18,30,,40,78,.513,11,26,.423,29,40,.725,11,40,23,8,7,11,29
12,12,2017-11-11,@,NOP,L,103,111,35,86,.407,10,26,.385,23,27,.852,8,37,16,12,1,11,24,,43,80,.538,6,16,.375,19,24,.792,8,51,26,7,4,23,19
13,13,2017-11-13,,PHI,L,105,109,36,82,.439,12,32,.375,21,32,.656,9,34,16,8,4,15,26,,38,77,.494,7,32,.219,26,35,.743,10,51,27,9,2,20,26
14,14,2017-11-17,@,CLE,L,113,118,46,103,.447,10,35,.286,11,14,.786,13,55,29,7,10,15,26,,42,90,.467,11,33,.333,23,29,.793,8,51,24,9,4,15,20
15,15,2017-11-18,@,CHO,L,87,102,33,83,.398,8,29,.276,13,19,.684,7,44,18,5,6,14,22,,34,87,.391,11,26,.423,23,29,.793,8,49,20,7,9,8,16
16,16,2017-11-20,@,NYK,L,85,107,30,80,.375,10,32,.313,15,21,.714,10,36,20,12,3,21,23,,35,81,.432,13,34,.382,24,25,.960,14,51,24,11,5,22,26
17,17,2017-11-22,@,ATL,W,116,103,44,76,.579,15,30,.500,13,19,.684,6,33,30,7,4,15,15,,40,83,.482,10,29,.345,13,15,.867,9,36,26,10,2,15,20
18,18,2017-11-25,@,SAC,W,97,95,38,80,.475,9,28,.321,12,13,.923,6,37,23,11,5,16,13,,38,83,.458,11,21,.524,8,9,.889,8,37,19,9,8,18,17
19,19,2017-11-27,,LAL,W,120,115,41,85,.482,10,28,.357,28,30,.933,10,44,19,7,3,17,22,,44,91,.484,11,30,.367,16,24,.667,12,43,23,10,5,16,29
20,20,2017-11-30,,UTA,L,107,126,38,70,.543,10,29,.345,21,30,.700,10,36,23,8,6,19,16,,49,85,.576,17,35,.486,11,14,.786,10,33,38,13,2,13,20
21,21,2017-12-02,@,DAL,L,82,108,30,86,.349,6,22,.273,16,23,.696,11,38,16,8,6,10,20,,36,79,.456,16,35,.457,20,26,.769,15,54,24,4,7,15,20
22,22,2017-12-03,@,MIN,L,106,112,37,73,.507,15,34,.441,17,22,.773,8,37,21,3,7,16,26,,38,88,.432,8,26,.308,28,31,.903,14,42,22,9,1,7,16
23,23,2017-12-06,,MIN,L,107,113,44,99,.444,10,32,.313,9,15,.600,17,43,23,6,3,9,17,,45,82,.549,7,19,.368,16,21,.762,8,46,29,4,7,15,17
24,24,2017-12-09,,WAS,W,113,112,39,80,.488,14,32,.438,21,24,.875,4,33,22,8,4,10,19,,42,82,.512,13,32,.406,15,23,.652,9,44,33,5,2,13,18
25,25,2017-12-11,,TOR,W,96,91,34,92,.370,8,36,.222,20,24,.833,14,57,18,6,7,12,20,,32,80,.400,7,29,.241,20,26,.769,3,43,18,8,6,13,22
26,26,2017-12-13,@,ORL,W,106,95,39,88,.443,12,26,.462,16,20,.800,6,51,25,10,6,8,19,,37,88,.420,9,27,.333,12,21,.571,7,45,24,6,6,12,13
27,27,2017-12-15,@,WAS,L,91,100,33,86,.384,7,24,.292,18,29,.621,12,47,17,12,6,20,20,,39,88,.443,7,31,.226,15,23,.652,11,50,21,12,7,19,26
