Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,BOS,W,108,100,38,76,.500,7,21,.333,25,30,.833,6,45,19,6,4,15,22,,39,91,.429,11,28,.393,11,21,.524,11,43,23,12,2,12,27
2,2,2017-10-20,,CLE,L,97,116,38,82,.463,11,35,.314,10,12,.833,8,30,23,9,2,14,17,,44,81,.543,11,26,.423,17,17,1.000,9,44,25,8,3,17,10
3,3,2017-10-21,,POR,W,113,110,42,80,.525,7,18,.389,22,30,.733,7,35,22,9,8,14,23,,34,81,.420,11,28,.393,31,35,.886,13,42,18,10,6,16,22
4,4,2017-10-23,,CHO,W,103,94,40,85,.471,9,26,.346,14,16,.875,5,42,24,8,4,13,27,,33,78,.423,7,26,.269,21,36,.583,10,48,17,3,5,14,21
5,5,2017-10-26,,BOS,L,89,96,35,77,.455,11,25,.440,8,14,.571,2,37,22,6,3,16,20,,33,78,.423,11,30,.367,19,22,.864,6,45,21,7,4,15,14
6,6,2017-10-29,@,ATL,W,117,106,44,81,.543,13,26,.500,16,21,.762,5,43,30,9,3,14,27,,36,77,.468,13,29,.448,21,26,.808,3,31,27,9,2,16,21
7,7,2017-10-31,,OKC,L,91,110,32,77,.416,9,31,.290,18,22,.818,4,31,24,8,4,14,22,,40,81,.494,12,28,.429,18,21,.857,9,46,24,6,3,15,20
8,8,2017-11-01,@,CHO,L,121,126,45,91,.495,19,36,.528,12,15,.800,9,40,29,3,3,14,25,,45,84,.536,14,25,.560,22,29,.759,7,41,21,5,3,11,18
9,9,2017-11-03,@,DET,L,96,105,39,83,.470,10,25,.400,8,9,.889,7,36,27,6,6,13,24,,37,78,.474,8,26,.308,23,28,.821,7,39,21,10,4,12,11
10,10,2017-11-07,@,CLE,L,119,124,47,83,.566,13,30,.433,12,16,.750,8,36,29,6,8,16,31,,41,82,.500,9,18,.500,33,38,.868,12,39,18,7,4,12,16
11,11,2017-11-10,@,SAS,W,94,87,41,89,.461,5,18,.278,7,14,.500,11,47,27,10,7,13,13,,34,80,.425,9,29,.310,10,11,.909,9,43,23,8,6,18,15
12,12,2017-11-11,,LAL,W,98,90,35,85,.412,6,23,.261,22,26,.846,9,42,16,11,4,12,27,,31,74,.419,6,22,.273,22,37,.595,8,48,21,7,9,21,22
13,13,2017-11-13,,MEM,W,110,103,40,82,.488,12,22,.545,18,25,.720,10,36,23,6,5,9,19,,37,76,.487,11,26,.423,18,21,.857,8,37,21,5,1,14,25
14,14,2017-11-15,,DET,W,99,95,38,78,.487,8,22,.364,15,21,.714,11,43,24,10,16,15,19,,30,85,.353,15,37,.405,20,23,.870,17,45,23,7,3,16,20
15,15,2017-11-18,@,DAL,L,79,111,28,74,.378,6,25,.240,17,31,.548,8,38,13,8,5,12,25,,38,79,.481,19,38,.500,16,19,.842,7,49,27,7,2,16,26
16,16,2017-11-20,,WAS,L,88,99,35,79,.443,4,22,.182,14,19,.737,6,33,17,10,7,9,19,,39,74,.527,9,24,.375,12,17,.706,8,46,23,4,1,16,18
17,17,2017-11-22,@,PHO,W,113,107,42,97,.433,8,29,.276,21,31,.677,13,42,19,16,6,14,30,,37,93,.398,7,22,.318,26,33,.788,22,60,15,7,9,29,26
18,18,2017-11-25,@,UTA,L,108,121,41,77,.532,8,21,.381,18,23,.783,8,40,19,5,6,16,21,,46,81,.568,18,32,.563,11,19,.579,5,30,31,8,2,10,19
19,19,2017-11-28,@,SAC,W,112,87,42,71,.592,9,22,.409,19,31,.613,1,38,27,13,5,12,22,,31,77,.403,5,17,.294,20,29,.690,9,40,15,5,2,16,21
20,20,2017-11-30,@,POR,W,103,91,42,87,.483,6,20,.300,13,15,.867,5,35,19,11,5,9,20,,35,83,.422,6,23,.261,15,17,.882,10,50,17,5,3,19,14
21,21,2017-12-02,,SAC,W,109,104,34,69,.493,6,19,.316,35,42,.833,9,36,20,9,6,15,18,,37,77,.481,11,24,.458,19,21,.905,6,33,20,7,1,15,28
22,22,2017-12-04,@,BOS,L,100,111,35,78,.449,9,21,.429,21,24,.875,3,28,17,6,2,9,17,,43,78,.551,10,22,.455,15,19,.789,8,45,25,5,3,14,20
