Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,MEM,L,91,103,30,79,.380,7,25,.280,24,29,.828,16,51,15,4,12,17,31,,39,92,.424,9,29,.310,16,28,.571,15,45,19,9,8,11,29
2,2,2017-10-20,,GSW,L,120,128,45,98,.459,16,36,.444,14,22,.636,16,51,26,8,4,17,19,,47,91,.516,18,40,.450,16,20,.800,10,49,29,6,8,18,23
3,3,2017-10-22,@,LAL,W,119,112,47,83,.566,10,32,.313,15,21,.714,6,42,26,14,5,18,20,,44,90,.489,9,27,.333,15,20,.750,9,38,27,7,6,17,24
4,4,2017-10-24,@,POR,L,93,103,30,76,.395,9,30,.300,24,32,.750,4,42,17,5,7,17,26,,33,88,.375,10,29,.345,27,33,.818,18,63,17,7,7,18,22
5,5,2017-10-26,@,SAC,W,114,106,42,86,.488,13,32,.406,17,23,.739,10,47,22,5,3,15,24,,38,81,.469,7,20,.350,23,25,.920,5,34,25,7,5,12,17
6,6,2017-10-28,,CLE,W,123,101,49,95,.516,13,33,.394,12,16,.750,10,47,33,10,4,11,20,,36,78,.462,12,32,.375,17,23,.739,5,37,19,8,2,18,19
7,7,2017-10-30,,ORL,L,99,115,39,85,.459,7,28,.250,14,18,.778,9,43,30,9,5,19,22,,43,85,.506,16,34,.471,13,18,.722,6,43,27,10,1,16,19
8,8,2017-11-01,,MIN,L,98,104,36,84,.429,8,31,.258,18,21,.857,9,38,27,13,4,19,24,,41,83,.494,6,22,.273,16,24,.667,11,47,20,13,3,21,21
9,9,2017-11-03,@,DAL,W,99,94,36,89,.404,7,29,.241,20,26,.769,9,53,23,9,4,12,22,,34,88,.386,9,34,.265,17,22,.773,9,47,19,4,7,15,24
10,10,2017-11-04,@,CHI,W,96,90,35,87,.402,9,31,.290,17,22,.773,5,52,23,9,4,13,9,,35,99,.354,11,42,.262,9,12,.750,16,58,23,10,5,17,19
11,11,2017-11-07,@,IND,W,117,112,44,87,.506,14,35,.400,15,22,.682,11,43,23,6,5,12,18,,44,93,.473,9,24,.375,15,18,.833,11,41,19,4,4,10,21
12,12,2017-11-09,@,TOR,L,118,122,44,82,.537,13,31,.419,17,25,.680,4,38,31,7,4,13,20,,45,98,.459,16,42,.381,16,23,.696,10,48,27,8,4,12,24
13,13,2017-11-11,,LAC,W,111,103,43,80,.538,6,16,.375,19,24,.792,8,51,26,7,4,23,19,,35,86,.407,10,26,.385,23,27,.852,8,37,16,12,1,11,24
14,14,2017-11-13,,ATL,W,106,105,41,75,.547,13,33,.394,11,17,.647,7,38,31,10,5,19,13,,40,87,.460,17,36,.472,8,9,.889,10,36,25,14,1,16,18
15,15,2017-11-15,,TOR,L,116,125,46,91,.505,10,27,.370,14,14,1.000,10,32,31,13,3,14,21,,45,76,.592,16,34,.471,19,20,.950,6,37,27,8,6,21,20
16,16,2017-11-17,@,DEN,L,114,146,48,91,.527,12,33,.364,6,10,.600,8,29,32,2,0,13,19,,56,89,.629,18,35,.514,16,21,.762,13,48,37,5,4,14,15
17,17,2017-11-20,,OKC,W,114,107,41,80,.513,7,25,.280,25,32,.781,7,49,26,8,3,19,22,,38,89,.427,11,35,.314,20,26,.769,9,40,22,14,2,14,25
18,18,2017-11-22,,SAS,W,107,90,39,81,.481,7,24,.292,22,24,.917,7,45,23,7,2,15,18,,35,88,.398,6,24,.250,14,15,.933,8,39,22,10,5,15,23
19,19,2017-11-24,@,PHO,W,115,91,45,91,.495,9,27,.333,16,22,.727,13,49,29,10,4,15,18,,37,94,.394,2,20,.100,15,18,.833,15,48,12,9,6,16,18
20,20,2017-11-25,@,GSW,L,95,110,34,84,.405,11,31,.355,16,23,.696,9,45,24,2,9,17,24,,39,94,.415,10,33,.303,22,27,.815,11,44,30,11,6,9,24
21,21,2017-11-29,,MIN,L,102,120,39,84,.464,14,35,.400,10,11,.909,8,28,27,8,2,16,17,,47,81,.580,9,23,.391,17,19,.895,10,44,30,10,1,17,14
22,22,2017-12-01,@,UTA,L,108,114,42,87,.483,15,30,.500,9,15,.600,6,42,28,4,7,10,20,,42,85,.494,12,30,.400,18,25,.720,8,46,25,7,3,7,15
