Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-19,,NYK,W,105,84,39,90,.433,11,38,.289,16,22,.727,13,41,26,14,7,18,22,,32,79,.405,7,24,.292,13,19,.684,11,41,19,8,4,25,23
2,2,2017-10-21,@,UTA,L,87,96,32,78,.410,11,33,.333,12,19,.632,8,38,15,14,4,17,16,,38,77,.494,9,29,.310,11,14,.786,7,41,22,11,4,18,21
3,3,2017-10-22,,MIN,L,113,115,46,96,.479,11,31,.355,10,16,.625,9,36,26,9,6,11,22,,43,86,.500,10,25,.400,19,23,.826,10,45,25,5,1,17,17
4,4,2017-10-25,,IND,W,114,96,43,89,.483,10,27,.370,18,26,.692,16,49,26,8,8,20,27,,28,83,.337,10,29,.345,30,35,.857,14,41,13,13,2,19,23
5,5,2017-10-27,@,MIN,L,116,119,43,86,.500,8,28,.286,22,25,.880,11,35,19,8,9,14,29,,42,86,.488,8,22,.364,27,35,.771,17,44,23,5,7,15,21
6,6,2017-10-28,@,CHI,W,101,69,39,88,.443,13,34,.382,10,14,.714,11,52,28,16,8,11,17,,22,78,.282,10,37,.270,15,20,.750,12,47,16,9,5,19,16
7,7,2017-10-31,@,MIL,W,110,91,40,81,.494,12,28,.429,18,21,.857,9,46,24,6,3,15,20,,32,77,.416,9,31,.290,18,22,.818,4,31,24,8,4,14,22
8,8,2017-11-03,,BOS,L,94,101,35,87,.402,13,35,.371,11,14,.786,11,48,20,4,7,12,18,,36,84,.429,13,28,.464,16,24,.667,11,49,23,6,2,10,14
9,9,2017-11-05,@,POR,L,99,103,40,89,.449,11,33,.333,8,15,.533,6,32,17,11,2,11,27,,37,74,.500,7,20,.350,22,28,.786,7,44,20,6,7,21,20
10,10,2017-11-07,@,SAC,L,86,94,29,86,.337,10,37,.270,18,23,.783,9,44,15,16,2,14,17,,37,79,.468,9,24,.375,11,12,.917,5,47,21,6,5,23,24
11,11,2017-11-09,@,DEN,L,94,102,38,90,.422,11,30,.367,7,14,.500,18,44,16,15,7,16,23,,38,82,.463,9,27,.333,17,22,.773,14,45,27,7,7,18,15
12,12,2017-11-10,,LAC,W,120,111,40,78,.513,11,26,.423,29,40,.725,11,40,23,8,7,11,29,,39,84,.464,12,30,.400,21,30,.700,16,46,13,4,2,18,30
13,13,2017-11-12,,DAL,W,112,99,36,72,.500,15,32,.469,25,33,.758,3,37,21,10,4,15,23,,37,87,.425,11,37,.297,14,18,.778,11,41,18,9,4,20,20
14,14,2017-11-15,,CHI,W,92,79,26,72,.361,8,30,.267,32,37,.865,11,48,15,7,2,13,19,,26,75,.347,11,29,.379,16,20,.800,6,38,16,7,2,13,27
15,15,2017-11-17,@,SAS,L,101,104,39,89,.438,9,23,.391,14,21,.667,13,41,24,7,3,8,22,,34,77,.442,14,35,.400,22,28,.786,12,44,23,6,7,13,18
16,16,2017-11-20,@,NOP,L,107,114,38,89,.427,11,35,.314,20,26,.769,9,40,22,14,2,14,25,,41,80,.513,7,25,.280,25,32,.781,7,49,26,8,3,19,22
17,17,2017-11-22,,GSW,W,108,91,41,90,.456,8,25,.320,18,26,.692,13,50,16,15,5,16,21,,33,80,.413,10,31,.323,15,18,.833,7,39,22,11,8,22,20
18,18,2017-11-24,,DET,L,98,99,42,98,.429,8,32,.250,6,8,.750,13,45,22,13,6,14,12,,39,84,.464,14,37,.378,7,9,.778,8,43,22,6,5,20,17
19,19,2017-11-25,@,DAL,L,81,97,29,80,.363,13,35,.371,10,13,.769,8,39,24,12,1,17,16,,37,75,.493,15,35,.429,8,11,.727,8,43,25,11,5,17,18
20,20,2017-11-29,@,ORL,L,108,121,38,96,.396,12,32,.375,20,30,.667,21,48,17,8,5,13,20,,45,76,.592,13,30,.433,18,26,.692,2,37,28,9,7,13,22
21,21,2017-12-01,,MIN,W,111,107,41,79,.519,8,26,.308,21,22,.955,13,42,28,7,7,18,24,,39,76,.513,12,24,.500,17,21,.810,6,26,26,7,5,16,20
22,22,2017-12-03,,SAS,W,90,87,37,87,.425,6,22,.273,10,21,.476,15,47,21,8,2,20,19,,31,76,.408,8,28,.286,17,23,.739,8,39,14,11,9,17,24
23,23,2017-12-05,,UTA,W,100,94,39,81,.481,4,18,.222,18,26,.692,12,46,18,11,6,18,18,,34,79,.430,11,33,.333,15,21,.714,9,35,18,16,5,16,21
