Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,MIA,W,116,109,43,90,.478,8,21,.381,22,29,.759,11,50,22,8,9,14,18,,44,101,.436,8,30,.267,13,17,.765,11,44,27,6,4,13,20
2,2,2017-10-20,@,BRK,L,121,126,45,89,.506,18,33,.545,13,15,.867,9,40,30,9,3,22,27,,46,92,.500,9,27,.333,25,35,.714,15,48,22,13,6,18,17
3,3,2017-10-21,@,CLE,W,114,93,40,90,.444,17,35,.486,17,20,.850,12,50,28,7,6,12,28,,33,86,.384,7,25,.280,20,27,.741,11,44,15,4,7,16,14
4,4,2017-10-24,,BRK,W,125,121,41,83,.494,8,23,.348,35,40,.875,6,44,20,8,5,11,23,,40,96,.417,11,35,.314,30,34,.882,14,49,21,8,4,15,27
5,5,2017-10-27,,SAS,W,114,87,48,84,.571,11,23,.478,7,14,.500,6,45,22,9,7,17,24,,30,89,.337,4,24,.167,23,27,.852,17,49,19,8,8,17,15
6,6,2017-10-29,@,CHO,L,113,120,41,97,.423,11,33,.333,20,26,.769,9,39,28,11,4,11,20,,53,97,.546,6,18,.333,8,17,.471,12,59,31,6,7,17,24
7,7,2017-10-30,@,NOP,W,115,99,43,85,.506,16,34,.471,13,18,.722,6,43,27,10,1,16,19,,39,85,.459,7,28,.250,14,18,.778,9,43,30,9,5,19,22
8,8,2017-11-01,@,MEM,W,101,99,38,75,.507,13,29,.448,12,14,.857,6,38,25,6,8,24,22,,39,82,.476,10,30,.333,11,16,.688,5,31,21,12,3,13,16
9,9,2017-11-03,,CHI,L,83,105,35,86,.407,10,35,.286,3,5,.600,7,38,23,6,2,16,11,,40,85,.471,14,29,.483,11,12,.917,9,48,23,6,2,14,13
10,10,2017-11-05,,BOS,L,88,104,33,91,.363,6,29,.207,16,18,.889,10,45,18,4,4,13,19,,39,89,.438,11,33,.333,15,20,.750,9,54,26,10,1,13,21
11,11,2017-11-08,,NYK,W,112,99,43,80,.538,13,28,.464,13,22,.591,6,29,31,16,7,12,15,,42,80,.525,5,12,.417,10,13,.769,12,42,26,7,2,23,21
12,12,2017-11-10,@,PHO,W,128,112,43,82,.524,13,28,.464,29,43,.674,7,44,29,8,5,18,20,,44,94,.468,5,24,.208,19,25,.760,12,40,13,8,5,15,29
13,13,2017-11-11,@,DEN,L,107,125,41,87,.471,11,31,.355,14,20,.700,8,36,24,7,5,12,19,,46,87,.529,12,29,.414,21,27,.778,13,50,29,9,4,12,16
14,14,2017-11-13,@,GSW,L,100,110,37,88,.420,10,32,.313,16,18,.889,4,35,26,10,3,11,18,,44,88,.500,8,23,.348,14,16,.875,12,50,35,4,5,16,21
