Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,POR,L,76,124,28,89,.315,7,27,.259,13,18,.722,10,33,10,9,8,16,22,,44,90,.489,14,24,.583,22,28,.786,15,57,22,8,7,16,20
2,2,2017-10-20,,LAL,L,130,132,45,92,.489,14,29,.483,26,38,.684,10,50,17,8,9,19,25,,48,93,.516,12,26,.462,24,33,.727,5,42,22,8,3,18,31
3,3,2017-10-21,@,LAC,L,88,130,27,71,.380,6,24,.250,28,38,.737,4,36,19,8,3,19,27,,48,88,.545,12,26,.462,22,30,.733,10,52,26,11,2,12,32
4,4,2017-10-23,,SAC,W,117,115,42,77,.545,10,30,.333,23,27,.852,6,45,20,6,5,20,25,,43,99,.434,9,22,.409,20,29,.690,13,37,19,13,2,9,25
5,5,2017-10-25,,UTA,W,97,88,42,96,.438,6,19,.316,7,9,.778,16,55,18,8,5,16,25,,32,77,.416,6,25,.240,18,25,.720,7,44,20,8,10,23,19
6,6,2017-10-28,@,POR,L,107,114,37,87,.425,9,26,.346,24,30,.800,12,46,21,12,7,17,23,,40,91,.440,11,26,.423,23,28,.821,12,53,27,8,7,14,26
7,7,2017-10-31,@,BRK,W,122,114,45,96,.469,10,22,.455,22,24,.917,10,66,18,5,5,18,26,,42,102,.412,9,31,.290,21,30,.700,7,44,15,9,4,7,22
8,8,2017-11-01,@,WAS,W,122,116,41,83,.494,9,24,.375,31,38,.816,11,45,23,5,5,9,24,,41,92,.446,10,30,.333,24,30,.800,15,45,20,5,4,12,28
9,9,2017-11-03,@,NYK,L,107,120,34,97,.351,9,32,.281,30,37,.811,20,47,17,7,3,10,25,,45,87,.517,8,26,.308,22,25,.880,9,49,24,5,7,12,24
10,10,2017-11-05,@,SAS,L,95,112,37,81,.457,8,23,.348,13,22,.591,11,45,23,5,4,18,16,,44,88,.500,11,22,.500,13,18,.722,8,43,21,9,4,9,19
11,11,2017-11-06,,BRK,L,92,98,30,86,.349,6,25,.240,26,35,.743,14,52,13,8,7,17,29,,35,87,.402,8,32,.250,20,29,.690,11,48,20,10,4,16,30
12,12,2017-11-08,,MIA,L,115,126,40,88,.455,12,29,.414,23,30,.767,6,34,20,4,2,11,29,,43,81,.531,12,30,.400,28,35,.800,11,53,21,5,4,14,25
13,13,2017-11-10,,ORL,L,112,128,44,94,.468,5,24,.208,19,25,.760,12,40,13,8,5,15,29,,43,82,.524,13,28,.464,29,43,.674,7,44,29,8,5,18,20
14,14,2017-11-11,,MIN,W,118,110,46,86,.535,10,26,.385,16,24,.667,7,46,21,4,10,18,25,,39,96,.406,4,20,.200,28,35,.800,19,47,16,12,4,11,21
15,15,2017-11-13,,LAL,L,93,100,37,95,.389,7,26,.269,12,20,.600,11,54,15,6,4,15,17,,39,92,.424,14,33,.424,8,13,.615,9,53,17,6,6,16,20
16,16,2017-11-16,,HOU,L,116,142,47,104,.452,10,30,.333,12,21,.571,16,47,28,9,5,14,22,,43,90,.478,21,44,.477,35,38,.921,12,51,27,9,9,14,20
17,17,2017-11-17,@,LAL,W,122,113,48,103,.466,13,32,.406,13,19,.684,9,44,28,10,5,13,22,,45,91,.495,7,25,.280,16,24,.667,9,49,26,7,10,19,20
18,18,2017-11-19,,CHI,W,113,105,45,89,.506,7,27,.259,16,22,.727,9,48,32,5,4,12,16,,42,101,.416,12,36,.333,9,14,.643,12,47,20,5,1,11,21
19,19,2017-11-22,,MIL,L,107,113,37,93,.398,7,22,.318,26,33,.788,22,60,15,7,9,29,26,,42,97,.433,8,29,.276,21,31,.677,13,42,19,16,6,14,30
20,20,2017-11-24,,NOP,L,91,115,37,94,.394,2,20,.100,15,18,.833,15,48,12,9,6,16,18,,45,91,.495,9,27,.333,16,22,.727,13,49,29,10,4,15,18
21,21,2017-11-26,@,MIN,L,108,119,43,85,.506,13,26,.500,9,12,.750,11,37,25,6,1,15,20,,49,93,.527,9,21,.429,12,17,.706,19,48,24,12,5,10,14
22,22,2017-11-28,@,CHI,W,104,99,38,87,.437,11,30,.367,17,23,.739,13,57,25,4,4,15,12,,38,94,.404,16,40,.400,7,10,.700,9,41,27,11,7,9,20
23,23,2017-11-29,@,DET,L,107,131,39,84,.464,7,22,.318,22,28,.786,8,37,21,11,4,19,19,,51,89,.573,13,28,.464,16,21,.762,5,44,31,11,6,19,22
24,24,2017-12-02,@,BOS,L,111,116,48,101,.475,7,24,.292,8,11,.727,16,47,24,8,1,10,19,,42,80,.525,14,31,.452,18,23,.783,4,31,32,8,6,9,16
25,25,2017-12-04,@,PHI,W,115,101,44,91,.484,10,22,.455,17,22,.773,15,46,25,10,9,11,14,,39,91,.429,7,30,.233,16,16,1.000,13,47,23,9,6,14,22
26,26,2017-12-05,@,TOR,L,113,126,37,75,.493,9,24,.375,30,38,.789,0,35,23,7,4,17,24,,44,92,.478,15,36,.417,23,26,.885,8,42,30,13,4,15,28
27,27,2017-12-07,,WAS,L,99,109,36,78,.462,7,23,.304,20,28,.714,10,42,22,5,5,13,21,,41,81,.506,8,21,.381,19,25,.760,8,38,25,6,4,10,23
28,28,2017-12-09,,SAS,L,101,104,35,80,.438,7,25,.280,24,30,.800,10,40,11,4,1,10,21,,40,87,.460,6,19,.316,18,25,.720,18,52,18,5,6,15,23
29,29,2017-12-12,@,SAC,L,92,99,37,90,.411,7,32,.219,11,14,.786,13,45,22,5,4,12,18,,38,89,.427,7,22,.318,16,22,.727,11,45,21,9,3,9,18
30,30,2017-12-13,,TOR,L,109,115,37,83,.446,8,24,.333,27,34,.794,10,41,20,3,9,11,24,,40,92,.435,9,26,.346,26,31,.839,8,45,16,7,3,6,25
31,31,2017-12-16,@,MIN,W,108,106,33,72,.458,11,24,.458,31,35,.886,13,52,22,4,3,23,21,,40,95,.421,9,27,.333,17,24,.708,10,31,21,14,8,6,19
32,32,2017-12-18,@,DAL,W,97,91,35,79,.443,10,25,.400,17,22,.773,7,49,17,9,6,18,25,,32,88,.364,11,37,.297,16,17,.941,8,42,21,10,5,15,18
33,33,2017-12-20,@,LAC,L,95,108,35,97,.361,8,35,.229,17,19,.895,14,50,22,3,3,10,25,,41,87,.471,10,30,.333,16,24,.667,9,50,22,1,4,9,19
34,34,2017-12-21,,MEM,W,97,95,33,81,.407,10,26,.385,21,27,.778,12,44,21,4,1,10,17,,39,90,.433,5,26,.192,12,16,.750,15,50,15,5,7,9,22
35,35,2017-12-23,,MIN,L,106,115,40,86,.465,11,32,.344,15,24,.625,9,36,24,5,4,13,22,,42,84,.500,6,16,.375,25,29,.862,13,47,18,6,6,14,21
36,36,2017-12-26,,MEM,W,99,97,32,72,.444,8,22,.364,27,35,.771,6,41,24,5,5,19,29,,35,87,.402,3,20,.150,24,29,.828,10,38,12,10,11,10,28
37,37,2017-12-29,@,SAC,W,111,101,41,85,.482,13,30,.433,16,24,.667,16,47,26,5,5,10,19,,37,80,.463,8,23,.348,19,23,.826,8,37,23,6,2,9,23
38,38,2017-12-31,,PHI,L,110,123,37,88,.420,10,27,.370,26,34,.765,12,35,18,9,4,16,29,,43,77,.558,10,24,.417,27,34,.794,11,44,24,11,7,21,32
39,39,2018-01-02,,ATL,W,104,103,39,77,.506,7,22,.318,19,27,.704,11,47,24,7,4,21,22,,36,87,.414,10,31,.323,21,25,.840,17,40,18,11,3,16,22
40,40,2018-01-03,@,DEN,L,111,134,39,92,.424,13,35,.371,20,28,.714,14,35,26,12,1,12,18,,51,82,.622,12,27,.444,20,22,.909,8,48,35,8,9,20,16
41,41,2018-01-05,@,SAS,L,89,103,35,83,.422,7,30,.233,12,18,.667,9,46,22,11,2,23,23,,41,87,.471,11,30,.367,10,18,.556,7,44,21,15,6,15,16
