Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,PHI,W,120,115,42,97,.433,6,22,.273,30,38,.789,16,52,21,8,10,9,20,,43,93,.462,15,35,.429,14,19,.737,11,48,25,6,6,17,28
2,2,2017-10-20,,DET,W,115,111,40,75,.533,6,17,.353,29,35,.829,7,37,25,12,7,16,18,,43,87,.494,10,23,.435,15,20,.750,10,33,19,12,1,19,32
3,3,2017-10-23,@,DEN,W,109,104,37,84,.440,9,30,.300,26,28,.929,10,38,24,13,3,15,24,,39,80,.488,8,23,.348,18,23,.783,9,44,27,5,2,23,22
4,4,2017-10-25,@,LAL,L,99,102,39,95,.411,6,26,.231,15,23,.652,7,45,20,11,5,13,19,,41,92,.446,7,30,.233,13,16,.813,6,53,27,9,5,21,26
5,5,2017-10-27,@,GSW,L,117,120,43,97,.443,15,33,.455,16,22,.727,12,41,30,7,6,14,21,,46,95,.484,10,38,.263,18,20,.900,15,53,33,7,13,17,20
6,6,2017-10-29,@,SAC,W,110,83,40,85,.471,17,34,.500,13,20,.650,13,49,28,9,3,15,18,,32,82,.390,6,22,.273,13,16,.813,11,43,13,8,2,17,20
7,7,2017-11-01,,PHO,L,116,122,41,92,.446,10,30,.333,24,30,.800,15,45,20,5,4,12,28,,41,83,.494,9,24,.375,31,38,.816,11,45,23,5,5,9,24
8,8,2017-11-03,,CLE,L,122,130,45,84,.536,11,28,.393,21,31,.677,9,37,25,5,2,16,24,,46,82,.561,12,27,.444,26,28,.929,8,34,20,11,4,14,27
9,9,2017-11-05,@,TOR,W,107,96,40,85,.471,11,23,.478,16,23,.696,11,46,19,9,3,17,26,,37,80,.463,5,24,.208,17,27,.630,9,36,17,7,8,13,24
10,10,2017-11-07,,DAL,L,99,113,32,75,.427,10,25,.400,25,32,.781,3,39,21,5,5,15,19,,43,91,.473,11,30,.367,16,20,.800,11,53,26,6,8,11,23
11,11,2017-11-09,,LAL,W,111,95,43,83,.518,7,21,.333,18,20,.900,7,45,20,7,4,19,31,,31,86,.360,3,23,.130,30,41,.732,17,46,17,9,4,19,19
12,12,2017-11-11,,ATL,W,113,94,42,78,.538,7,24,.292,22,28,.786,11,42,22,14,10,23,22,,34,83,.410,14,33,.424,12,17,.706,10,32,19,11,1,24,23
13,13,2017-11-13,,SAC,W,110,92,44,86,.512,11,34,.324,11,12,.917,10,50,30,7,1,11,21,,34,84,.405,12,23,.522,12,18,.667,10,35,19,8,4,10,15
14,14,2017-11-15,@,MIA,W,102,93,32,78,.410,9,19,.474,29,31,.935,11,40,9,8,2,12,19,,32,78,.410,13,30,.433,16,19,.842,12,42,15,3,3,17,20
15,15,2017-11-17,,MIA,L,88,91,32,84,.381,10,35,.286,14,16,.875,7,46,18,4,4,12,17,,34,83,.410,10,35,.286,13,18,.722,10,52,21,6,7,15,19
16,16,2017-11-19,@,TOR,L,91,100,34,81,.420,11,19,.579,12,21,.571,8,43,20,5,3,14,12,,40,90,.444,10,39,.256,10,14,.714,11,48,20,8,7,7,19
17,17,2017-11-20,@,MIL,W,99,88,39,74,.527,9,24,.375,12,17,.706,8,46,23,4,1,16,18,,35,79,.443,4,22,.182,14,19,.737,6,33,17,10,7,9,19
18,18,2017-11-22,@,CHO,L,124,129,48,99,.485,11,33,.333,17,22,.773,9,43,25,4,6,12,29,,43,91,.473,10,28,.357,33,40,.825,14,48,23,5,5,11,20
19,19,2017-11-25,,POR,L,105,108,41,89,.461,8,23,.348,15,16,.938,7,37,20,9,4,11,17,,41,80,.513,9,24,.375,17,22,.773,6,41,18,3,6,16,16
20,20,2017-11-28,@,MIN,W,92,89,36,83,.434,10,28,.357,10,17,.588,9,44,23,5,4,7,16,,35,85,.412,10,30,.333,9,14,.643,13,49,27,3,1,10,17
21,21,2017-11-29,@,PHI,L,113,118,36,89,.404,9,22,.409,32,37,.865,7,35,22,8,4,11,42,,37,81,.457,3,18,.167,41,64,.641,21,64,23,6,8,17,27
22,22,2017-12-01,,DET,W,109,91,43,89,.483,7,21,.333,16,19,.842,16,49,28,12,6,11,20,,35,79,.443,9,30,.300,12,19,.632,4,32,20,7,5,15,21
23,23,2017-12-04,@,UTA,L,69,116,23,80,.288,4,20,.200,19,23,.826,12,31,9,8,2,13,21,,43,76,.566,16,34,.471,14,18,.778,10,52,29,9,3,16,20
24,24,2017-12-05,@,POR,W,106,92,42,89,.472,11,25,.440,11,14,.786,11,44,20,16,6,9,22,,32,78,.410,12,27,.444,16,21,.762,7,41,18,2,5,18,20
25,25,2017-12-07,@,PHO,W,109,99,41,81,.506,8,21,.381,19,25,.760,8,38,25,6,4,10,23,,36,78,.462,7,23,.304,20,28,.714,10,42,22,5,5,13,21
26,26,2017-12-09,@,LAC,L,112,113,42,82,.512,13,32,.406,15,23,.652,9,44,33,5,2,13,18,,39,80,.488,14,32,.438,21,24,.875,4,33,22,8,4,10,19
27,27,2017-12-12,@,BRK,L,98,103,38,95,.400,4,22,.182,18,22,.818,12,49,18,8,3,10,26,,34,84,.405,10,43,.233,25,33,.758,9,53,26,4,6,14,21
28,28,2017-12-13,,MEM,W,93,87,36,77,.468,9,22,.409,12,24,.500,6,44,21,7,8,15,22,,31,81,.383,10,28,.357,15,16,.938,10,47,18,6,2,16,23
29,29,2017-12-15,,LAC,W,100,91,39,88,.443,7,31,.226,15,23,.652,11,50,21,12,7,19,26,,33,86,.384,7,24,.292,18,29,.621,12,47,17,12,6,20,20
30,30,2017-12-17,,CLE,L,99,106,39,91,.429,12,33,.364,9,16,.563,13,51,20,4,5,10,18,,41,87,.471,14,34,.412,10,12,.833,4,42,24,6,4,8,16
31,31,2017-12-19,,NOP,W,116,106,46,92,.500,14,35,.400,10,14,.714,10,44,29,8,3,16,31,,34,80,.425,5,20,.250,33,40,.825,11,42,20,7,1,16,16
32,32,2017-12-22,@,BRK,L,84,119,34,93,.366,5,20,.250,11,15,.733,7,35,22,7,1,7,18,,44,88,.500,14,41,.341,17,21,.810,13,60,29,4,4,14,17
33,33,2017-12-23,,ORL,W,130,103,47,86,.547,16,30,.533,20,23,.870,12,49,29,5,2,16,18,,42,87,.483,8,26,.308,11,17,.647,4,28,17,7,3,12,22
34,34,2017-12-25,@,BOS,W,111,103,43,93,.462,6,26,.231,19,28,.679,14,47,26,6,4,8,17,,39,81,.481,14,29,.483,11,17,.647,8,45,20,2,4,16,23
35,35,2017-12-27,@,ATL,L,99,113,35,81,.432,9,24,.375,20,26,.769,9,40,24,6,5,13,24,,41,94,.436,11,37,.297,20,29,.690,16,53,28,7,7,11,21
36,36,2017-12-29,,HOU,W,121,103,47,88,.534,18,36,.500,9,12,.750,10,45,23,12,5,16,15,,38,89,.427,14,48,.292,13,16,.813,8,35,15,11,2,14,13
37,37,2017-12-31,,CHI,W,114,110,43,93,.462,16,36,.444,12,17,.706,12,47,27,6,8,10,24,,42,92,.457,8,35,.229,18,22,.818,10,46,24,6,1,12,22
38,38,2018-01-03,,NYK,W,121,103,48,81,.593,9,23,.391,16,26,.615,6,42,27,9,5,12,21,,41,86,.477,7,19,.368,14,18,.778,8,36,19,7,5,14,20
39,39,2018-01-05,@,MEM,W,102,100,33,84,.393,10,27,.370,26,34,.765,12,48,21,7,7,13,23,,35,86,.407,10,30,.333,20,26,.769,11,46,20,6,9,16,25
40,40,2018-01-06,,MIL,L,103,110,37,78,.474,8,21,.381,21,29,.724,4,34,25,6,6,14,22,,39,80,.488,7,22,.318,25,30,.833,10,45,20,11,6,15,26
41,41,2018-01-10,,UTA,L,104,107,41,78,.526,10,25,.400,12,16,.750,9,45,25,8,1,23,17,,43,92,.467,11,33,.333,10,13,.769,11,39,23,15,3,12,17
42,42,2018-01-12,,ORL,W,125,119,54,95,.568,4,16,.250,13,19,.684,14,41,26,9,6,11,22,,41,80,.513,12,29,.414,25,31,.806,12,40,32,7,3,15,21
43,43,2018-01-13,,BRK,W,119,113,46,93,.495,10,23,.435,17,23,.739,6,47,31,10,3,15,19,,42,99,.424,12,43,.279,17,20,.850,13,47,28,6,3,15,22
