Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,UTA,L,96,106,36,77,.468,13,27,.481,11,12,.917,7,38,21,4,3,20,18,,41,81,.506,9,24,.375,15,16,.938,6,36,28,9,5,15,18
2,2,2017-10-21,,SAC,W,96,79,37,85,.435,10,30,.333,12,20,.600,18,58,25,7,2,16,19,,31,85,.365,8,22,.364,9,13,.692,12,39,15,6,3,13,21
3,3,2017-10-23,,WAS,L,104,109,39,80,.488,8,23,.348,18,23,.783,9,44,27,5,2,23,22,,37,84,.440,9,30,.300,26,28,.929,10,38,24,13,3,15,24
4,4,2017-10-25,@,CHO,L,93,110,38,100,.380,8,31,.258,9,15,.600,18,51,18,6,1,13,23,,38,81,.469,13,31,.419,21,26,.808,10,50,17,5,5,14,16
5,5,2017-10-27,@,ATL,W,105,100,42,91,.462,4,20,.200,17,23,.739,11,46,24,8,4,11,12,,37,89,.416,14,33,.424,12,12,1.000,11,43,23,7,4,12,21
6,6,2017-10-29,@,BRK,W,124,111,47,94,.500,11,20,.550,19,22,.864,4,46,23,7,7,6,22,,39,96,.406,12,31,.387,21,31,.677,17,56,24,5,4,15,18
7,7,2017-10-30,@,NYK,L,110,116,35,85,.412,18,41,.439,22,31,.710,13,36,20,13,5,13,22,,41,82,.500,13,32,.406,21,23,.913,11,49,27,8,10,22,27
8,8,2017-11-01,,TOR,W,129,111,47,88,.534,16,32,.500,19,29,.655,9,43,35,9,4,12,20,,42,85,.494,11,31,.355,16,25,.640,9,38,20,7,4,13,25
9,9,2017-11-03,,MIA,W,95,94,36,80,.450,9,23,.391,14,25,.560,13,41,17,9,6,17,16,,36,77,.468,15,37,.405,7,11,.636,8,41,23,9,6,23,24
10,10,2017-11-04,,GSW,L,108,127,40,87,.460,6,24,.250,22,27,.815,9,46,26,9,6,17,18,,50,91,.549,18,40,.450,9,17,.529,7,41,38,13,4,13,23
11,11,2017-11-07,,BRK,W,112,104,44,93,.473,9,34,.265,15,20,.750,9,47,26,16,9,19,21,,38,89,.427,11,35,.314,17,22,.773,8,47,22,12,6,25,16
12,12,2017-11-09,,OKC,W,102,94,38,82,.463,9,27,.333,17,22,.773,14,45,27,7,7,18,15,,38,90,.422,11,30,.367,7,14,.500,18,44,16,15,7,16,23
13,13,2017-11-11,,ORL,W,125,107,46,87,.529,12,29,.414,21,27,.778,13,50,29,9,4,12,16,,41,87,.471,11,31,.355,14,20,.700,8,36,24,7,5,12,19
14,14,2017-11-13,@,POR,L,82,99,30,84,.357,9,32,.281,13,15,.867,12,35,13,9,2,20,16,,38,73,.521,7,21,.333,16,18,.889,8,43,22,12,5,21,18
15,15,2017-11-17,,NOP,W,146,114,56,89,.629,18,35,.514,16,21,.762,13,48,37,5,4,14,15,,48,91,.527,12,33,.364,6,10,.600,8,29,32,2,0,13,19
16,16,2017-11-19,@,LAL,L,109,127,36,84,.429,13,31,.419,24,35,.686,17,47,18,8,8,20,15,,53,100,.530,12,32,.375,9,16,.563,13,46,36,11,5,15,27
17,17,2017-11-20,@,SAC,W,114,98,42,86,.488,15,32,.469,15,20,.750,14,49,18,6,3,13,13,,41,86,.477,8,20,.400,8,9,.889,5,34,18,11,6,12,19
18,18,2017-11-22,@,HOU,L,95,125,35,87,.402,10,33,.303,15,23,.652,15,43,19,11,5,19,14,,45,82,.549,18,41,.439,17,23,.739,8,46,30,13,4,18,22
19,19,2017-11-24,,MEM,W,104,92,40,79,.506,9,32,.281,15,26,.577,15,50,24,9,4,21,18,,36,73,.493,9,24,.375,11,16,.688,3,23,28,10,3,18,21
20,20,2017-11-28,@,UTA,L,77,106,28,78,.359,7,34,.206,14,16,.875,12,42,13,6,4,17,13,,42,87,.483,14,32,.438,8,9,.889,9,43,24,7,6,11,20
21,21,2017-11-30,,CHI,W,111,110,38,83,.458,12,31,.387,23,31,.742,11,44,22,7,4,12,19,,44,82,.537,9,24,.375,13,21,.619,6,40,25,4,4,11,27
22,22,2017-12-02,,LAL,W,115,100,40,87,.460,12,31,.387,23,28,.821,9,39,26,8,6,12,19,,38,86,.442,9,30,.300,15,21,.714,17,52,21,5,2,21,24
23,23,2017-12-04,@,DAL,L,105,122,38,91,.418,14,36,.389,15,23,.652,15,49,25,5,5,7,19,,49,86,.570,12,26,.462,12,17,.706,5,42,26,4,6,7,18
24,24,2017-12-06,@,NOP,L,114,123,41,94,.436,16,35,.457,16,22,.727,10,40,22,7,4,9,21,,46,86,.535,12,31,.387,19,29,.655,11,49,28,4,5,11,19
25,25,2017-12-08,@,ORL,W,103,89,42,85,.494,6,21,.286,13,16,.813,6,44,21,7,7,12,20,,33,83,.398,5,21,.238,18,23,.783,11,42,18,5,7,14,17
26,26,2017-12-10,@,IND,L,116,126,43,95,.453,17,42,.405,13,17,.765,19,47,24,7,5,21,20,,49,93,.527,10,25,.400,18,22,.818,11,40,24,6,2,11,17
27,27,2017-12-12,@,DET,W,103,84,40,79,.506,10,30,.333,13,14,.929,6,44,27,8,3,17,15,,28,79,.354,9,25,.360,19,22,.864,11,40,17,7,2,20,16
28,28,2017-12-13,@,BOS,L,118,124,45,91,.495,9,28,.321,19,26,.731,20,48,22,8,4,15,20,,47,79,.595,11,25,.440,19,24,.792,4,30,29,10,7,13,20
29,29,2017-12-15,,NOP,W,117,111,46,100,.460,16,36,.444,9,14,.643,11,48,30,12,4,15,17,,43,91,.473,15,34,.441,10,14,.714,7,42,27,8,8,19,15
30,30,2017-12-18,@,OKC,L,94,95,37,86,.430,12,37,.324,8,12,.667,8,45,21,8,3,11,18,,39,81,.481,7,24,.292,10,15,.667,6,40,13,9,5,10,13
31,31,2017-12-20,,MIN,L,104,112,36,72,.500,13,28,.464,19,24,.792,8,42,27,6,5,21,18,,43,87,.494,8,24,.333,18,19,.947,8,37,28,12,2,8,20
32,32,2017-12-22,@,POR,W,102,85,42,85,.494,7,25,.280,11,16,.688,16,49,19,4,10,14,13,,35,83,.422,6,22,.273,9,16,.563,10,34,15,6,4,9,19
33,33,2017-12-23,@,GSW,W,96,81,38,82,.463,7,28,.250,13,15,.867,10,45,25,10,4,18,14,,32,84,.381,3,27,.111,14,17,.824,11,38,25,14,8,16,14
34,34,2017-12-26,,UTA,W,107,83,39,81,.481,11,30,.367,18,22,.818,10,53,23,3,1,9,21,,27,84,.321,10,35,.286,19,23,.826,12,42,19,7,0,7,22
35,35,2017-12-27,@,MIN,L,125,128,42,91,.462,15,39,.385,26,31,.839,11,48,26,3,2,9,24,,47,90,.522,12,29,.414,22,30,.733,7,42,27,4,7,6,26
36,36,2017-12-30,,PHI,L,102,107,35,87,.402,7,32,.219,25,34,.735,10,48,18,10,9,13,12,,45,93,.484,8,24,.333,9,10,.900,7,41,34,6,3,13,25
37,37,2018-01-03,,PHO,W,134,111,51,82,.622,12,27,.444,20,22,.909,8,48,35,8,9,20,16,,39,92,.424,13,35,.371,20,28,.714,14,35,26,12,1,12,18
38,38,2018-01-05,,UTA,W,99,91,38,86,.442,14,35,.400,9,16,.563,4,37,24,9,1,10,11,,38,84,.452,12,33,.364,3,6,.500,8,53,26,7,5,17,16
39,39,2018-01-06,@,SAC,L,98,106,35,76,.461,13,34,.382,15,21,.714,8,46,20,2,6,25,17,,42,94,.447,9,25,.360,13,17,.765,10,39,21,16,4,9,22
40,40,2018-01-08,@,GSW,L,114,124,47,95,.495,8,19,.421,12,16,.750,13,39,30,8,3,11,16,,48,85,.565,13,30,.433,15,21,.714,10,43,33,7,10,16,15
41,41,2018-01-10,,ATL,L,97,110,38,95,.400,9,37,.243,12,20,.600,14,40,27,13,6,12,18,,40,80,.500,12,27,.444,18,18,1.000,6,44,25,6,4,16,23
42,42,2018-01-12,,MEM,W,87,78,27,70,.386,7,22,.318,26,32,.813,12,47,15,8,3,14,18,,30,77,.390,7,24,.292,11,14,.786,8,36,17,8,5,14,28
43,43,2018-01-13,@,SAS,L,80,112,29,83,.349,7,28,.250,15,17,.882,11,41,18,9,4,15,16,,41,79,.519,14,27,.519,16,18,.889,6,43,23,9,3,15,17
44,44,2018-01-16,,DAL,W,105,102,40,86,.465,8,26,.308,17,26,.654,15,47,23,10,3,18,23,,38,78,.487,8,27,.296,18,22,.818,5,35,17,10,3,16,24
45,45,2018-01-17,@,LAC,L,104,109,42,97,.433,5,25,.200,15,18,.833,20,54,23,13,7,19,25,,40,87,.460,10,30,.333,19,31,.613,17,48,22,10,5,20,16
46,46,2018-01-19,,PHO,L,100,108,35,78,.449,14,36,.389,16,21,.762,7,42,23,7,5,16,20,,40,81,.494,14,33,.424,14,20,.700,4,37,28,9,6,11,21
47,47,2018-01-22,,POR,W,104,101,34,83,.410,10,30,.333,26,33,.788,14,49,23,7,8,15,20,,36,85,.424,8,25,.320,21,26,.808,11,44,19,11,6,11,22
48,48,2018-01-25,,NYK,W,130,118,48,80,.600,14,28,.500,20,24,.833,2,32,36,3,2,13,20,,45,82,.549,8,21,.381,20,24,.833,3,33,32,9,5,10,20
49,49,2018-01-27,,DAL,W,91,89,34,81,.420,12,33,.364,11,15,.733,9,53,23,6,8,14,21,,34,85,.400,11,31,.355,10,19,.526,8,43,17,8,5,8,15
50,50,2018-01-29,,BOS,L,110,111,42,93,.452,10,33,.303,16,21,.762,15,47,31,4,3,10,14,,43,91,.473,17,36,.472,8,10,.800,10,40,28,4,6,9,19
