Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,WAS,L,115,120,43,93,.462,15,35,.429,14,19,.737,11,48,25,6,6,17,28,,42,97,.433,6,22,.273,30,38,.789,16,52,21,8,10,9,20
2,2,2017-10-20,,BOS,L,92,102,35,92,.380,10,32,.313,12,16,.750,14,47,20,7,4,16,30,,35,84,.417,10,29,.345,22,32,.688,14,55,16,4,5,19,24
3,3,2017-10-21,@,TOR,L,94,128,32,82,.390,8,24,.333,22,36,.611,8,41,18,5,4,20,26,,42,89,.472,13,44,.295,31,37,.838,8,51,23,5,10,13,29
4,4,2017-10-23,@,DET,W,97,86,35,75,.467,9,24,.375,18,24,.750,8,49,25,11,0,21,24,,33,85,.388,6,30,.200,14,19,.737,9,39,14,5,2,14,21
5,5,2017-10-25,,HOU,L,104,105,43,97,.443,12,36,.333,6,10,.600,12,43,29,14,7,14,19,,36,75,.480,12,39,.308,21,24,.875,7,40,22,11,13,19,13
6,6,2017-10-28,@,DAL,W,112,110,43,87,.494,16,35,.457,10,14,.714,11,42,25,10,1,13,21,,38,74,.514,19,40,.475,15,19,.789,3,33,22,7,2,17,15
7,7,2017-10-30,@,HOU,W,115,107,44,80,.550,10,24,.417,17,24,.708,7,48,27,10,4,19,31,,33,83,.398,13,47,.277,28,38,.737,10,35,17,12,3,15,23
8,8,2017-11-01,,ATL,W,119,109,46,99,.465,13,35,.371,14,25,.560,15,53,36,10,4,16,26,,41,94,.436,8,23,.348,19,27,.704,12,49,22,11,4,18,28
9,9,2017-11-03,,IND,W,121,110,46,92,.500,18,36,.500,11,14,.786,12,50,34,7,9,18,20,,45,97,.464,8,28,.286,12,19,.632,8,40,25,6,6,11,18
10,10,2017-11-07,@,UTA,W,104,97,34,81,.420,12,27,.444,24,30,.800,8,56,23,5,6,22,34,,30,99,.303,9,39,.231,28,35,.800,14,45,15,14,6,12,23
11,11,2017-11-09,@,SAC,L,108,109,37,87,.425,15,37,.405,19,27,.704,13,56,23,6,5,17,28,,40,93,.430,12,27,.444,17,28,.607,8,45,29,6,5,9,19
12,12,2017-11-11,@,GSW,L,114,135,44,94,.468,12,28,.429,14,20,.700,13,38,30,10,2,19,19,,48,82,.585,14,27,.519,25,26,.962,4,39,31,15,11,22,23
13,13,2017-11-13,@,LAC,W,109,105,38,77,.494,7,32,.219,26,35,.743,10,51,27,9,2,20,26,,36,82,.439,12,32,.375,21,32,.656,9,34,16,8,4,15,26
14,14,2017-11-15,@,LAL,W,115,109,42,86,.488,7,32,.219,24,30,.800,8,52,27,7,15,16,19,,42,109,.385,3,27,.111,22,27,.815,22,57,18,7,6,9,23
