Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,PHO,W,124,76,44,90,.489,14,24,.583,22,28,.786,15,57,22,8,7,16,20,,28,89,.315,7,27,.259,13,18,.722,10,33,10,9,8,16,22
2,2,2017-10-20,@,IND,W,114,96,46,95,.484,9,19,.474,13,17,.765,11,51,19,5,6,9,26,,35,78,.449,4,18,.222,22,33,.667,6,39,15,1,4,12,17
3,3,2017-10-21,@,MIL,L,110,113,34,81,.420,11,28,.393,31,35,.886,13,42,18,10,6,16,22,,42,80,.525,7,18,.389,22,30,.733,7,35,22,9,8,14,23
4,4,2017-10-24,,NOP,W,103,93,33,88,.375,10,29,.345,27,33,.818,18,63,17,7,7,18,22,,30,76,.395,9,30,.300,24,32,.750,4,42,17,5,7,17,26
5,5,2017-10-26,,LAC,L,103,104,35,89,.393,14,31,.452,19,22,.864,16,44,19,5,4,9,26,,36,77,.468,9,28,.321,23,36,.639,14,46,11,4,5,11,19
6,6,2017-10-28,,PHO,W,114,107,40,91,.440,11,26,.423,23,28,.821,12,53,27,8,7,14,26,,37,87,.425,9,26,.346,24,30,.800,12,46,21,12,7,17,23
7,7,2017-10-30,,TOR,L,85,99,31,80,.388,8,26,.308,15,19,.789,6,38,13,5,7,13,15,,39,87,.448,8,24,.333,13,17,.765,8,47,17,10,9,9,14
8,8,2017-11-01,@,UTA,L,103,112,37,93,.398,9,34,.265,20,27,.741,11,53,17,8,8,17,25,,34,90,.378,13,29,.448,31,36,.861,10,55,16,9,8,14,21
9,9,2017-11-02,,LAL,W,113,110,40,86,.465,9,22,.409,24,27,.889,10,41,22,7,4,12,21,,43,79,.544,4,18,.222,20,27,.741,2,32,16,8,8,11,20
10,10,2017-11-05,,OKC,W,103,99,37,74,.500,7,20,.350,22,28,.786,7,44,20,6,7,21,20,,40,89,.449,11,33,.333,8,15,.533,6,32,17,11,2,11,27
11,11,2017-11-07,,MEM,L,97,98,36,81,.444,6,19,.316,19,20,.950,10,42,11,9,1,16,18,,35,73,.479,7,19,.368,21,25,.840,5,34,18,8,10,14,21
12,12,2017-11-10,,BRK,L,97,101,40,95,.421,8,23,.348,9,11,.818,12,51,17,4,4,10,17,,39,91,.429,12,38,.316,11,19,.579,11,49,25,7,4,10,13
13,13,2017-11-13,,DEN,W,99,82,38,73,.521,7,21,.333,16,18,.889,8,43,22,12,5,21,18,,30,84,.357,9,32,.281,13,15,.867,12,35,13,9,2,20,16
14,14,2017-11-15,,ORL,W,99,94,38,87,.437,14,27,.519,9,13,.692,10,41,21,7,2,12,10,,37,79,.468,11,29,.379,9,9,1.000,7,41,19,6,4,15,16
15,15,2017-11-17,@,SAC,L,82,86,30,81,.370,7,25,.280,15,16,.938,11,44,13,8,1,17,20,,36,85,.424,4,14,.286,10,15,.667,12,43,20,11,5,13,22
16,16,2017-11-18,,SAC,W,102,90,38,70,.543,10,21,.476,16,21,.762,5,44,19,6,8,17,22,,34,89,.382,8,17,.471,14,18,.778,9,36,14,9,4,11,24
17,17,2017-11-20,@,MEM,W,100,92,33,83,.398,6,15,.400,28,32,.875,15,60,11,1,9,15,23,,33,86,.384,8,30,.267,18,23,.783,5,35,23,6,9,8,26
18,18,2017-11-22,@,PHI,L,81,101,30,89,.337,7,26,.269,14,24,.583,11,48,14,8,6,17,17,,39,90,.433,11,32,.344,12,17,.706,11,57,23,12,8,18,21
19,19,2017-11-24,@,BRK,W,127,125,48,96,.500,6,15,.400,25,35,.714,12,45,24,5,13,7,16,,50,100,.500,10,25,.400,15,21,.714,13,47,25,4,6,9,22
20,20,2017-11-25,@,WAS,W,108,105,41,80,.513,9,24,.375,17,22,.773,6,41,18,3,6,16,16,,41,89,.461,8,23,.348,15,16,.938,7,37,20,9,4,11,17
21,21,2017-11-27,@,NYK,W,103,91,37,83,.446,7,21,.333,22,26,.846,5,45,18,10,3,9,22,,35,88,.398,5,15,.333,16,22,.727,14,51,13,3,3,13,20
22,22,2017-11-30,,MIL,L,91,103,35,83,.422,6,23,.261,15,17,.882,10,50,17,5,3,19,14,,42,87,.483,6,20,.300,13,15,.867,5,35,19,11,5,9,20
23,23,2017-12-02,,NOP,L,116,123,47,105,.448,11,35,.314,11,11,1.000,9,44,20,6,3,4,17,,45,86,.523,15,31,.484,18,25,.720,4,48,22,2,3,10,16
24,24,2017-12-05,,WAS,L,92,106,32,78,.410,12,27,.444,16,21,.762,7,41,18,2,5,18,20,,42,89,.472,11,25,.440,11,14,.786,11,44,20,16,6,9,22
25,25,2017-12-09,,HOU,L,117,124,45,88,.511,18,41,.439,9,12,.750,7,33,19,4,5,15,28,,40,75,.533,10,25,.400,34,42,.810,7,35,14,13,2,12,17
26,26,2017-12-11,@,GSW,L,104,111,37,88,.420,7,28,.250,23,25,.920,12,39,14,11,2,9,18,,44,80,.550,10,20,.500,13,17,.765,6,42,26,5,9,14,16
27,27,2017-12-13,@,MIA,W,102,95,36,72,.500,10,28,.357,20,23,.870,5,33,14,7,2,11,21,,34,72,.472,13,30,.433,14,23,.609,10,36,19,6,1,15,21
28,28,2017-12-15,@,ORL,W,95,88,37,86,.430,8,18,.444,13,15,.867,6,45,18,7,9,14,20,,32,84,.381,10,29,.345,14,19,.737,8,45,15,7,3,15,18
29,29,2017-12-16,@,CHO,W,93,91,37,79,.468,10,24,.417,9,18,.500,5,47,19,2,3,20,21,,33,96,.344,7,31,.226,18,28,.643,13,51,18,9,3,6,21
30,30,2017-12-18,@,MIN,L,107,108,46,84,.548,10,24,.417,5,5,1.000,7,40,26,6,8,17,19,,42,91,.462,7,19,.368,17,21,.810,11,32,19,6,2,10,14
31,31,2017-12-20,,SAS,L,91,93,38,96,.396,6,25,.240,9,14,.643,12,37,18,13,2,8,14,,41,79,.519,6,17,.353,5,6,.833,9,53,17,7,9,23,16
32,32,2017-12-22,,DEN,L,85,102,35,83,.422,6,22,.273,9,16,.563,10,34,15,6,4,9,19,,42,85,.494,7,25,.280,11,16,.688,16,49,19,4,10,14,13
33,33,2017-12-23,@,LAL,W,95,92,39,95,.411,10,25,.400,7,14,.500,9,47,19,7,8,11,15,,36,85,.424,8,25,.320,12,20,.600,11,55,23,8,3,17,22
34,34,2017-12-28,,PHI,W,114,110,35,75,.467,8,24,.333,36,47,.766,8,47,15,7,3,15,18,,42,87,.483,16,32,.500,10,14,.714,5,37,28,8,2,13,26
35,35,2017-12-30,@,ATL,L,89,104,36,85,.424,7,25,.280,10,13,.769,15,46,19,9,8,20,18,,40,89,.449,14,30,.467,10,15,.667,13,45,29,12,3,13,16
36,36,2018-01-01,@,CHI,W,124,120,47,108,.435,14,33,.424,16,18,.889,12,50,25,7,5,8,16,,45,104,.433,11,27,.407,19,23,.826,15,58,28,5,7,12,21
37,37,2018-01-02,@,CLE,L,110,127,42,90,.467,13,32,.406,13,19,.684,13,43,25,5,5,15,29,,43,83,.518,13,32,.406,28,37,.757,8,40,28,11,4,10,17
38,38,2018-01-05,,ATL,W,110,89,43,80,.538,13,30,.433,11,14,.786,6,44,30,11,5,15,20,,30,83,.361,8,26,.308,21,25,.840,11,39,14,7,5,16,16
39,39,2018-01-07,,SAS,W,111,110,48,92,.522,8,23,.348,7,10,.700,9,38,19,7,5,9,24,,40,81,.494,11,23,.478,19,26,.731,10,42,26,4,5,14,16
40,40,2018-01-09,@,OKC,W,117,106,43,81,.531,10,23,.435,21,26,.808,8,42,19,10,2,15,20,,37,84,.440,13,31,.419,19,26,.731,11,38,20,6,4,14,17
41,41,2018-01-10,@,HOU,L,112,121,40,83,.482,9,26,.346,23,32,.719,6,40,21,5,6,12,26,,45,100,.450,12,38,.316,19,25,.760,17,49,25,7,5,13,30
42,42,2018-01-12,@,NOP,L,113,119,45,101,.446,12,42,.286,11,14,.786,14,39,24,13,6,11,22,,45,82,.549,7,19,.368,22,23,.957,9,43,26,7,6,18,16
43,43,2018-01-14,@,MIN,L,103,120,39,79,.494,11,25,.440,14,17,.824,8,38,19,6,3,17,27,,43,80,.538,7,19,.368,27,33,.818,7,38,21,12,3,11,17
44,44,2018-01-16,,PHO,W,118,111,46,91,.505,17,35,.486,9,10,.900,9,43,21,7,6,9,16,,37,89,.416,16,41,.390,21,22,.955,12,43,21,6,3,13,15
45,45,2018-01-18,,IND,W,100,86,37,94,.394,10,32,.313,16,16,1.000,14,57,17,6,7,11,11,,36,91,.396,7,26,.269,7,13,.538,10,46,17,4,4,8,16
46,46,2018-01-20,,DAL,W,117,108,45,86,.523,18,36,.500,9,10,.900,9,40,19,3,3,14,23,,38,83,.458,10,25,.400,22,28,.786,11,37,19,9,5,9,21
47,47,2018-01-22,@,DEN,L,101,104,36,85,.424,8,25,.320,21,26,.808,11,44,19,11,6,11,22,,34,83,.410,10,30,.333,26,33,.788,14,49,23,7,8,15,20
48,48,2018-01-24,,MIN,W,123,114,45,82,.549,17,31,.548,16,21,.762,6,37,24,4,1,10,16,,45,84,.536,6,16,.375,18,22,.818,5,33,20,7,2,6,14
49,49,2018-01-26,@,DAL,W,107,93,39,79,.494,10,30,.333,19,23,.826,10,54,20,4,6,14,17,,35,89,.393,10,30,.333,13,17,.765,8,37,17,9,3,5,19
50,50,2018-01-30,@,LAC,W,104,96,36,98,.367,13,30,.433,19,22,.864,18,59,21,12,6,12,21,,35,85,.412,6,22,.273,20,26,.769,9,50,22,5,7,13,17
51,51,2018-01-31,,CHI,W,124,108,46,82,.561,15,32,.469,17,20,.850,5,48,21,3,6,17,19,,41,99,.414,13,34,.382,13,22,.591,12,36,19,10,4,6,16
52,52,2018-02-02,@,TOR,L,105,130,37,73,.507,7,21,.333,24,33,.727,4,36,20,4,2,10,15,,46,99,.465,19,40,.475,19,21,.905,17,42,21,5,4,6,23
53,53,2018-02-04,@,BOS,L,96,97,36,91,.396,13,31,.419,11,14,.786,10,46,21,4,9,8,17,,35,85,.412,15,36,.417,12,17,.706,9,51,24,3,6,11,16
54,54,2018-02-05,@,DET,L,91,111,37,94,.394,10,33,.303,7,8,.875,13,45,18,9,5,13,14,,44,88,.500,15,30,.500,8,12,.667,10,51,36,7,4,14,14
55,55,2018-02-08,,CHO,W,109,103,41,90,.456,9,31,.290,18,22,.818,9,57,18,7,7,17,19,,38,98,.388,13,33,.394,14,17,.824,7,44,17,10,3,11,16
56,56,2018-02-09,@,SAC,W,118,100,43,88,.489,15,35,.429,17,18,.944,9,45,18,10,4,11,21,,38,90,.422,9,23,.391,15,21,.714,12,43,25,5,3,12,19
57,57,2018-02-11,,UTA,L,96,115,33,81,.407,9,25,.360,21,25,.840,6,37,16,7,4,13,22,,41,88,.466,13,26,.500,20,22,.909,16,58,23,8,4,13,22
58,58,2018-02-14,,GSW,W,123,117,45,93,.484,12,33,.364,21,24,.875,13,49,20,9,0,13,18,,43,90,.478,13,37,.351,18,19,.947,8,41,24,8,7,16,24
59,59,2018-02-23,@,UTA,W,100,81,39,87,.448,9,24,.375,13,14,.929,6,41,14,11,5,12,20,,33,78,.423,6,25,.240,9,11,.818,8,43,15,7,6,19,13
60,60,2018-02-24,@,PHO,W,106,104,39,99,.394,6,30,.200,22,30,.733,12,48,15,6,7,6,19,,39,87,.448,11,26,.423,15,21,.714,6,51,23,5,10,13,24
61,61,2018-02-27,,SAC,W,116,99,44,84,.524,15,34,.441,13,17,.765,10,47,27,10,2,17,15,,39,88,.443,7,22,.318,14,15,.933,6,36,20,14,4,12,12
62,62,2018-03-01,,MIN,W,108,99,36,92,.391,9,30,.300,27,35,.771,12,48,17,9,6,8,18,,38,85,.447,4,20,.200,19,21,.905,9,49,16,5,7,15,24
63,63,2018-03-03,,OKC,W,108,100,39,88,.443,11,33,.333,19,23,.826,14,47,20,6,8,15,21,,40,91,.440,6,27,.222,14,21,.667,9,40,18,6,6,12,21
64,64,2018-03-05,@,LAL,W,108,103,35,83,.422,10,23,.435,28,38,.737,7,50,19,6,5,14,25,,34,87,.391,11,37,.297,24,31,.774,7,47,20,9,7,10,24
65,65,2018-03-06,,NYK,W,111,87,35,81,.432,20,33,.606,21,24,.875,15,51,22,4,4,19,15,,35,83,.422,7,19,.368,10,15,.667,9,39,21,7,7,14,19
66,66,2018-03-09,,GSW,W,125,108,44,89,.494,16,39,.410,21,27,.778,14,46,21,4,2,11,17,,38,78,.487,12,28,.429,20,24,.833,6,33,20,5,3,10,20
67,67,2018-03-12,,MIA,W,115,99,38,83,.458,14,36,.389,25,30,.833,9,50,23,5,6,12,15,,39,91,.429,10,31,.323,11,16,.688,10,46,24,6,4,11,24
68,68,2018-03-15,,CLE,W,113,105,43,96,.448,12,35,.343,15,19,.789,13,50,26,4,3,7,15,,41,80,.513,11,33,.333,12,21,.571,2,34,17,5,7,11,21
69,69,2018-03-17,,DET,W,100,87,38,87,.437,8,31,.258,16,18,.889,9,49,23,8,8,11,17,,31,80,.388,10,25,.400,15,20,.750,8,43,17,6,2,12,16
70,70,2018-03-18,@,LAC,W,122,109,46,92,.500,14,29,.483,16,20,.800,8,47,24,7,6,13,22,,40,89,.449,9,23,.391,20,27,.741,8,38,21,8,3,8,17
71,71,2018-03-20,,HOU,L,111,115,40,81,.494,11,28,.393,20,27,.741,10,44,20,6,7,8,18,,38,79,.481,19,36,.528,20,29,.690,7,38,18,3,4,9,23
72,72,2018-03-23,,BOS,L,100,105,40,91,.440,8,33,.242,12,15,.800,11,43,16,8,5,8,20,,35,77,.455,11,18,.611,24,26,.923,9,45,22,5,4,13,18
73,73,2018-03-25,@,OKC,W,108,105,42,90,.467,9,34,.265,15,19,.789,18,49,20,8,7,13,19,,37,84,.440,8,27,.296,23,28,.821,13,39,16,9,5,10,19
74,74,2018-03-27,@,NOP,W,107,103,44,105,.419,10,32,.313,9,10,.900,17,47,20,11,7,10,17,,43,94,.457,4,24,.167,13,14,.929,11,54,28,3,10,16,19
75,75,2018-03-28,@,MEM,L,103,108,38,79,.481,8,30,.267,19,30,.633,8,38,15,7,8,12,20,,41,84,.488,13,25,.520,13,23,.565,11,46,23,7,2,15,24
76,76,2018-03-30,,LAC,W,105,96,41,95,.432,8,30,.267,15,16,.938,13,50,30,9,10,10,25,,36,89,.404,4,13,.308,20,35,.571,11,46,13,5,5,10,16
77,77,2018-04-01,,MEM,W,113,98,39,84,.464,12,38,.316,23,25,.920,8,43,28,9,2,13,15,,40,88,.455,9,21,.429,9,12,.750,9,42,20,7,5,17,19
78,78,2018-04-03,@,DAL,L,109,115,39,87,.448,10,40,.250,21,24,.875,5,46,28,6,2,13,20,,42,92,.457,17,44,.386,14,20,.700,8,43,27,8,5,7,16
