Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,HOU,L,100,105,42,88,.477,8,23,.348,8,10,.800,9,42,19,5,4,17,20,,33,83,.398,12,45,.267,27,29,.931,12,44,19,7,3,14,14
2,2,2017-10-20,@,DAL,W,93,88,37,87,.425,10,23,.435,9,13,.692,16,57,20,8,3,14,18,,31,75,.413,11,33,.333,15,21,.714,7,36,19,8,7,12,13
3,3,2017-10-21,@,DEN,L,79,96,31,85,.365,8,22,.364,9,13,.692,12,39,15,6,3,13,21,,37,85,.435,10,30,.333,12,20,.600,18,58,25,7,2,16,19
4,4,2017-10-23,@,PHO,L,115,117,43,99,.434,9,22,.409,20,29,.690,13,37,19,13,2,9,25,,42,77,.545,10,30,.333,23,27,.852,6,45,20,6,5,20,25
5,5,2017-10-26,,NOP,L,106,114,38,81,.469,7,20,.350,23,25,.920,5,34,25,7,5,12,17,,42,86,.488,13,32,.406,17,23,.739,10,47,22,5,3,15,24
6,6,2017-10-29,,WAS,L,83,110,32,82,.390,6,22,.273,13,16,.813,11,43,13,8,2,17,20,,40,85,.471,17,34,.500,13,20,.650,13,49,28,9,3,15,18
7,7,2017-10-31,@,IND,L,83,101,37,88,.420,2,14,.143,7,14,.500,9,45,15,8,5,14,18,,36,85,.424,12,29,.414,17,22,.773,14,53,25,8,7,14,17
8,8,2017-11-01,@,BOS,L,86,113,35,81,.432,6,20,.300,10,12,.833,7,26,24,10,5,15,18,,40,82,.488,17,41,.415,16,19,.842,16,52,30,10,3,16,19
9,9,2017-11-04,@,DET,L,99,108,40,76,.526,10,21,.476,9,13,.692,3,32,24,6,1,17,23,,40,79,.506,13,24,.542,15,22,.682,8,35,28,10,3,14,19
10,10,2017-11-07,,OKC,W,94,86,37,79,.468,9,24,.375,11,12,.917,5,47,21,6,5,23,24,,29,86,.337,10,37,.270,18,23,.783,9,44,15,16,2,14,17
11,11,2017-11-09,,PHI,W,109,108,40,93,.430,12,27,.444,17,28,.607,8,45,29,6,5,9,19,,37,87,.425,15,37,.405,19,27,.704,13,56,23,6,5,17,28
12,12,2017-11-11,@,NYK,L,91,118,30,80,.375,7,22,.318,24,30,.800,11,42,19,6,4,13,18,,47,90,.522,12,27,.444,12,15,.800,8,40,29,6,6,11,22
13,13,2017-11-13,@,WAS,L,92,110,34,84,.405,12,23,.522,12,18,.667,10,35,19,8,4,10,15,,44,86,.512,11,34,.324,11,12,.917,10,50,30,7,1,11,21
14,14,2017-11-15,@,ATL,L,80,126,31,88,.352,6,28,.214,12,20,.600,11,29,18,12,2,12,19,,50,79,.633,16,32,.500,10,16,.625,9,53,40,9,6,18,23
