Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,MIN,W,107,99,41,89,.461,8,21,.381,17,19,.895,12,50,22,8,11,11,18,,37,85,.435,8,19,.421,17,23,.739,11,42,23,7,4,13,16
2,2,2017-10-21,@,CHI,W,87,77,38,93,.409,1,12,.083,10,16,.625,14,52,25,8,3,11,14,,31,82,.378,8,28,.286,7,9,.778,8,48,18,3,5,19,15
3,3,2017-10-23,,TOR,W,101,97,40,90,.444,5,20,.250,16,23,.696,18,55,19,4,12,20,22,,34,80,.425,10,37,.270,19,24,.792,5,34,17,11,4,14,30
4,4,2017-10-25,@,MIA,W,117,100,42,76,.553,10,17,.588,23,30,.767,8,44,18,6,3,13,20,,37,80,.463,9,26,.346,17,18,.944,4,32,19,6,2,9,25
5,5,2017-10-27,@,ORL,L,87,114,30,89,.337,4,24,.167,23,27,.852,17,49,19,8,8,17,15,,48,84,.571,11,23,.478,7,14,.500,6,45,22,9,7,17,24
6,6,2017-10-29,@,IND,L,94,97,36,90,.400,9,28,.321,13,18,.722,12,44,19,12,8,15,11,,36,77,.468,10,22,.455,15,20,.750,6,44,21,9,3,19,20
7,7,2017-10-30,@,BOS,L,94,108,36,87,.414,12,26,.462,10,20,.500,12,40,24,8,4,11,14,,42,88,.477,11,31,.355,13,16,.813,15,54,24,10,6,13,22
8,8,2017-11-02,,GSW,L,92,112,34,87,.391,7,24,.292,17,23,.739,14,46,19,6,8,16,10,,43,83,.518,14,28,.500,12,16,.750,5,41,30,11,12,14,20
9,9,2017-11-03,,CHO,W,108,101,39,83,.470,9,27,.333,21,26,.808,7,45,31,7,6,15,26,,33,80,.413,8,24,.333,27,42,.643,11,46,16,11,1,12,20
10,10,2017-11-05,,PHO,W,112,95,44,88,.500,11,22,.500,13,18,.722,8,43,21,9,4,9,19,,37,81,.457,8,23,.348,13,22,.591,11,45,23,5,4,18,16
