Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,DET,L,90,102,29,73,.397,9,30,.300,23,29,.793,3,47,16,4,3,17,15,,41,96,.427,9,26,.346,11,12,.917,9,47,24,14,3,8,21
2,2,2017-10-20,,ATL,W,109,91,37,86,.430,11,36,.306,24,30,.800,12,57,17,5,4,21,18,,36,95,.379,7,30,.233,12,14,.857,6,38,19,11,4,13,29
3,3,2017-10-23,@,MIL,L,94,103,33,78,.423,7,26,.269,21,36,.583,10,48,17,3,5,14,21,,40,85,.471,9,26,.346,14,16,.875,5,42,24,8,4,13,27
4,4,2017-10-25,,DEN,W,110,93,38,81,.469,13,31,.419,21,26,.808,10,50,17,5,5,14,16,,38,100,.380,8,31,.258,9,15,.600,18,51,18,6,1,13,23
5,5,2017-10-27,,HOU,L,93,109,33,88,.375,11,29,.379,16,28,.571,11,44,16,6,5,9,14,,38,85,.447,22,57,.386,11,13,.846,7,51,21,5,6,15,26
6,6,2017-10-29,,ORL,W,120,113,53,97,.546,6,18,.333,8,17,.471,12,59,31,6,7,17,24,,41,97,.423,11,33,.333,20,26,.769,9,39,28,11,4,11,20
7,7,2017-10-30,@,MEM,W,104,99,37,89,.416,7,17,.412,23,29,.793,10,56,15,3,7,11,22,,32,93,.344,8,35,.229,27,33,.818,11,48,17,7,8,7,22
8,8,2017-11-01,,MIL,W,126,121,45,84,.536,14,25,.560,22,29,.759,7,41,21,5,3,11,18,,45,91,.495,19,36,.528,12,15,.800,9,40,29,3,3,14,25
9,9,2017-11-03,@,SAS,L,101,108,33,80,.413,8,24,.333,27,42,.643,11,46,16,11,1,12,20,,39,83,.470,9,27,.333,21,26,.808,7,45,31,7,6,15,26
10,10,2017-11-05,@,MIN,L,94,112,37,89,.416,9,28,.321,11,21,.524,10,40,24,8,3,11,24,,38,83,.458,10,24,.417,26,30,.867,12,54,20,4,4,16,19
11,11,2017-11-07,@,NYK,L,113,118,42,91,.462,15,37,.405,14,17,.824,17,40,24,8,2,13,22,,45,75,.600,12,25,.480,16,21,.762,6,35,29,5,5,16,19
12,12,2017-11-10,@,BOS,L,87,90,31,80,.388,6,22,.273,19,33,.576,7,47,20,5,7,14,21,,30,84,.357,9,31,.290,21,25,.840,9,49,15,6,5,13,26
13,13,2017-11-15,,CLE,L,107,115,41,86,.477,6,26,.231,19,28,.679,8,41,21,7,5,13,19,,42,95,.442,13,38,.342,18,20,.900,16,51,25,9,4,13,24
14,14,2017-11-17,@,CHI,L,120,123,42,81,.519,10,21,.476,26,34,.765,5,42,19,3,2,12,15,,47,91,.516,17,34,.500,12,13,.923,4,35,26,9,2,11,23
15,15,2017-11-18,,LAC,W,102,87,34,87,.391,11,26,.423,23,29,.793,8,49,20,7,9,8,16,,33,83,.398,8,29,.276,13,19,.684,7,44,18,5,6,14,22
16,16,2017-11-20,,MIN,W,118,102,42,85,.494,11,26,.423,23,29,.793,11,52,22,5,7,17,18,,37,90,.411,6,27,.222,22,26,.846,10,38,13,8,6,10,21
17,17,2017-11-22,,WAS,W,129,124,43,91,.473,10,28,.357,33,40,.825,14,48,23,5,5,11,20,,48,99,.485,11,33,.333,17,22,.773,9,43,25,4,6,12,29
18,18,2017-11-24,@,CLE,L,99,100,36,94,.383,11,29,.379,16,27,.593,15,55,25,4,3,9,17,,38,83,.458,13,39,.333,11,15,.733,3,45,25,4,7,12,24
19,19,2017-11-25,,SAS,L,86,106,31,84,.369,4,25,.160,20,26,.769,14,42,20,7,4,14,19,,39,81,.481,6,25,.240,22,25,.880,8,45,22,8,7,11,19
20,20,2017-11-29,@,TOR,L,113,126,37,79,.468,9,19,.474,30,35,.857,7,36,26,6,2,12,17,,52,98,.531,14,32,.438,8,11,.727,11,39,24,6,2,9,23
21,21,2017-12-01,@,MIA,L,100,105,38,79,.481,5,20,.250,19,21,.905,10,40,21,9,5,22,24,,39,80,.488,14,35,.400,13,21,.619,9,39,25,8,4,21,24
22,22,2017-12-04,,ORL,W,104,94,34,84,.405,3,17,.176,33,40,.825,11,52,17,13,5,14,18,,36,82,.439,10,32,.313,12,14,.857,5,40,24,5,5,20,30
23,23,2017-12-06,,GSW,L,87,101,34,97,.351,6,19,.316,13,17,.765,14,49,17,5,3,12,13,,40,84,.476,11,30,.367,10,13,.769,8,47,26,8,12,15,20
24,24,2017-12-08,,CHI,L,111,119,40,100,.400,10,29,.345,21,29,.724,9,50,22,7,11,11,21,,48,99,.485,6,18,.333,17,22,.773,6,56,23,5,7,14,29
25,25,2017-12-09,,LAL,L,99,110,41,93,.441,8,25,.320,9,14,.643,9,43,21,7,3,11,21,,43,85,.506,9,27,.333,15,21,.714,6,46,24,7,5,14,21
26,26,2017-12-11,@,OKC,W,116,103,43,81,.531,13,25,.520,17,24,.708,9,41,22,7,4,12,20,,35,85,.412,9,26,.346,24,25,.960,11,39,16,4,2,14,19
27,27,2017-12-13,@,HOU,L,96,108,36,87,.414,4,21,.190,20,27,.741,12,56,14,4,5,12,15,,39,88,.443,17,45,.378,13,19,.684,6,45,24,7,5,10,18
28,28,2017-12-15,,MIA,L,98,104,34,83,.410,10,27,.370,20,27,.741,10,41,21,7,1,16,13,,39,78,.500,11,31,.355,15,17,.882,5,41,25,10,8,16,22
29,29,2017-12-16,,POR,L,91,93,33,96,.344,7,31,.226,18,28,.643,13,51,18,9,3,6,21,,37,79,.468,10,24,.417,9,18,.500,5,47,19,2,3,20,21
30,30,2017-12-18,,NYK,W,109,91,43,88,.489,9,20,.450,14,16,.875,12,47,30,10,6,19,16,,36,86,.419,3,18,.167,16,20,.800,10,37,21,10,5,17,16
31,31,2017-12-20,,TOR,L,111,129,39,85,.459,7,23,.304,26,35,.743,8,39,21,10,6,12,18,,49,91,.538,16,33,.485,15,18,.833,10,43,35,6,7,14,27
32,32,2017-12-22,@,MIL,L,104,109,39,88,.443,12,26,.462,14,17,.824,9,43,21,4,7,9,18,,41,87,.471,8,29,.276,19,23,.826,6,43,27,7,5,7,16
33,33,2017-12-23,,MIL,W,111,106,36,74,.486,9,21,.429,30,40,.750,9,43,22,2,7,16,20,,42,87,.483,8,26,.308,14,17,.824,7,35,25,4,2,9,32
34,34,2017-12-27,,BOS,L,91,102,32,87,.368,7,23,.304,20,29,.690,19,52,15,7,3,11,11,,37,78,.474,15,34,.441,13,13,1.000,6,43,20,4,7,15,20
35,35,2017-12-29,@,GSW,W,111,100,41,89,.461,6,20,.300,23,34,.676,13,47,27,12,6,10,10,,40,87,.460,8,22,.364,12,13,.923,8,43,32,6,5,17,25
36,36,2017-12-31,@,LAC,L,98,106,36,93,.387,11,33,.333,15,19,.789,15,47,23,10,3,17,21,,36,76,.474,10,28,.357,24,27,.889,6,42,24,9,5,16,21
37,37,2018-01-02,@,SAC,W,131,111,51,89,.573,15,32,.469,14,18,.778,5,30,25,7,3,3,14,,45,87,.517,7,17,.412,14,18,.778,16,47,22,1,2,15,19
38,38,2018-01-05,@,LAL,W,108,94,42,99,.424,12,33,.364,12,16,.750,16,56,26,10,3,14,18,,38,94,.404,9,36,.250,9,12,.750,12,46,24,7,3,16,20
39,39,2018-01-10,,DAL,L,111,115,43,84,.512,10,26,.385,15,30,.500,4,43,16,6,5,11,22,,39,83,.470,15,36,.417,22,28,.786,3,39,23,7,7,8,22
40,40,2018-01-12,,UTA,W,99,88,32,78,.410,9,27,.333,26,34,.765,8,46,17,8,2,12,19,,28,77,.364,12,35,.343,20,23,.870,8,45,19,5,8,14,26
41,41,2018-01-13,,OKC,L,91,101,33,83,.398,9,28,.321,16,23,.696,9,50,16,3,7,14,15,,39,97,.402,8,26,.308,15,20,.750,19,57,17,8,9,9,22
42,42,2018-01-15,@,DET,W,118,107,43,84,.512,10,21,.476,22,33,.667,9,49,21,9,4,15,11,,42,86,.488,15,29,.517,8,11,.727,3,38,27,10,5,16,24
43,43,2018-01-17,,WAS,W,133,109,48,98,.490,15,31,.484,22,26,.846,13,49,27,10,5,9,18,,40,82,.488,13,23,.565,16,23,.696,7,40,31,3,7,16,23
44,44,2018-01-20,,MIA,L,105,106,41,90,.456,7,27,.259,16,21,.762,8,43,22,9,8,7,12,,43,87,.494,13,28,.464,7,12,.583,8,47,28,5,6,14,17
45,45,2018-01-22,,SAC,W,112,107,38,86,.442,16,40,.400,20,25,.800,11,48,22,4,10,15,14,,43,97,.443,10,22,.455,11,15,.733,10,42,27,8,3,7,22
46,46,2018-01-24,,NOP,L,96,101,36,85,.424,6,21,.286,18,31,.581,10,49,16,5,6,14,23,,39,87,.448,9,26,.346,14,18,.778,8,42,26,6,10,15,19
47,47,2018-01-26,,ATL,W,121,110,40,88,.455,13,34,.382,28,32,.875,11,43,25,13,8,11,25,,37,79,.468,15,30,.500,21,25,.840,6,39,23,6,5,20,26
48,48,2018-01-27,@,MIA,L,91,95,29,84,.345,5,24,.208,28,35,.800,12,46,12,6,6,7,15,,38,85,.447,8,26,.308,11,18,.611,11,51,25,4,5,12,24
49,49,2018-01-29,@,IND,L,96,105,37,83,.446,9,31,.290,13,20,.650,11,40,18,5,2,16,14,,45,83,.542,6,21,.286,9,11,.818,6,38,28,7,3,12,19
50,50,2018-01-31,@,ATL,W,123,110,46,90,.511,17,32,.531,14,18,.778,12,42,29,6,1,10,21,,39,77,.506,12,32,.375,20,22,.909,4,29,26,5,4,9,16
51,51,2018-02-02,,IND,W,133,126,44,83,.530,15,33,.455,30,34,.882,11,43,27,5,2,15,21,,44,87,.506,12,29,.414,26,28,.929,7,31,21,10,6,11,25
52,52,2018-02-04,@,PHO,W,115,110,40,96,.417,10,38,.263,25,29,.862,13,43,24,12,6,8,17,,41,77,.532,15,29,.517,13,13,1.000,2,39,24,4,4,19,25
53,53,2018-02-05,@,DEN,L,104,121,39,77,.506,11,26,.423,15,24,.625,5,36,21,7,1,10,16,,46,81,.568,18,34,.529,11,13,.846,5,41,30,10,2,11,15
