Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,ORL,L,109,116,44,101,.436,8,30,.267,13,17,.765,11,44,27,6,4,13,20,,43,90,.478,8,21,.381,22,29,.759,11,50,22,8,9,14,18
2,2,2017-10-21,,IND,W,112,108,45,87,.517,14,34,.412,8,14,.571,6,45,24,6,11,14,19,,43,96,.448,7,19,.368,15,21,.714,13,45,18,9,4,10,18
3,3,2017-10-23,,ATL,W,104,93,39,85,.459,14,37,.378,12,18,.667,10,41,21,12,6,19,19,,36,76,.474,7,17,.412,14,18,.778,6,41,14,9,1,20,17
4,4,2017-10-25,,SAS,L,100,117,37,80,.463,9,26,.346,17,18,.944,4,32,19,6,2,9,25,,42,76,.553,10,17,.588,23,30,.767,8,44,18,6,3,13,20
5,5,2017-10-28,,BOS,L,90,96,34,79,.430,7,31,.226,15,16,.938,6,40,17,6,9,19,23,,34,81,.420,6,23,.261,22,26,.846,11,41,15,11,5,12,14
6,6,2017-10-30,,MIN,L,122,125,49,93,.527,7,27,.259,17,25,.680,15,49,17,8,5,24,28,,41,91,.451,11,23,.478,32,35,.914,10,40,20,16,4,16,25
7,7,2017-11-01,,CHI,W,97,91,34,83,.410,12,31,.387,17,19,.895,3,48,21,8,0,11,19,,36,89,.404,7,28,.250,12,19,.632,7,54,20,7,6,12,19
8,8,2017-11-03,@,DEN,L,94,95,36,77,.468,15,37,.405,7,11,.636,8,41,23,9,6,23,24,,36,80,.450,9,23,.391,14,25,.560,13,41,17,9,6,17,16
9,9,2017-11-05,@,LAC,W,104,101,37,84,.440,14,36,.389,16,19,.842,10,37,23,12,6,16,26,,34,87,.391,9,31,.290,24,30,.800,18,50,16,11,4,15,22
10,10,2017-11-06,@,GSW,L,80,97,30,83,.361,8,26,.308,12,17,.706,7,44,19,10,6,20,20,,32,87,.368,11,32,.344,22,24,.917,13,51,20,12,10,14,21
11,11,2017-11-08,@,PHO,W,126,115,43,81,.531,12,30,.400,28,35,.800,11,53,21,5,4,14,25,,40,88,.455,12,29,.414,23,30,.767,6,34,20,4,2,11,29
12,12,2017-11-10,@,UTA,W,84,74,30,77,.390,10,25,.400,14,18,.778,7,48,10,9,6,19,20,,25,74,.338,5,21,.238,19,22,.864,4,40,12,10,7,17,20
13,13,2017-11-12,@,DET,L,103,112,39,90,.433,13,37,.351,12,16,.750,7,39,25,8,5,9,22,,42,87,.483,14,28,.500,14,20,.700,11,54,24,2,5,13,17
14,14,2017-11-15,,WAS,L,93,102,32,78,.410,13,30,.433,16,19,.842,12,42,15,3,3,17,20,,32,78,.410,9,19,.474,29,31,.935,11,40,9,8,2,12,19
15,15,2017-11-17,@,WAS,W,91,88,34,83,.410,10,35,.286,13,18,.722,10,52,21,6,7,15,19,,32,84,.381,10,35,.286,14,16,.875,7,46,18,4,4,12,17
16,16,2017-11-19,,IND,L,95,120,35,83,.422,13,37,.351,12,14,.857,10,35,21,8,2,14,11,,51,85,.600,11,23,.478,7,8,.875,9,42,33,9,7,12,14
17,17,2017-11-22,,BOS,W,104,98,40,81,.494,10,28,.357,14,16,.875,7,48,20,3,4,16,22,,35,84,.417,9,26,.346,19,27,.704,7,37,19,11,4,11,19
18,18,2017-11-24,@,MIN,W,109,97,38,80,.475,19,39,.487,14,16,.875,9,42,29,4,4,13,24,,37,84,.440,7,17,.412,16,26,.615,13,44,21,9,3,10,16
19,19,2017-11-26,@,CHI,W,100,93,34,75,.453,13,32,.406,19,23,.826,1,45,19,9,5,12,14,,33,89,.371,14,33,.424,13,16,.813,7,47,25,10,2,13,18
20,20,2017-11-28,@,CLE,L,97,108,37,84,.440,10,31,.323,13,20,.650,8,42,24,7,5,15,19,,40,81,.494,11,33,.333,17,23,.739,5,45,21,12,2,13,17
21,21,2017-11-29,@,NYK,L,86,115,32,84,.381,10,38,.263,12,20,.600,9,31,21,13,4,15,20,,44,73,.603,5,13,.385,22,26,.846,8,52,26,10,5,20,20
22,22,2017-12-01,,CHO,W,105,100,39,80,.488,14,35,.400,13,21,.619,9,39,25,8,4,21,24,,38,79,.481,5,20,.250,19,21,.905,10,40,21,9,5,22,24
23,23,2017-12-03,,GSW,L,95,123,33,81,.407,14,37,.378,15,17,.882,5,28,17,5,4,11,15,,47,84,.560,11,30,.367,18,24,.750,7,41,32,4,4,9,14
