Rk,Player,ID,Tm,1718,1819,1920,2021,2122,2223,Signed Using,Guaranteed,Year,Cap,Conversion1718
1,Stephen Curry,curryst01,GSW,34682550,37457154,40231758,43006362,45780966,,Bird Rights,201158790,2017,9909,35351070
2,LeBron James,jamesle01,CLE,33285709,35607968,,,,,Early Bird,33285709,2016,9414,33065967
3,Paul Millsap,millspa01,DEN,31269231,29730769,30500000,,,,Cap space,61000000,2017,9909,31871958
4,Gordon Hayward,haywago01,BOS,29727900,31214295,32700690,34187085,,,Cap space,93642885,2017,9909,30300917
5,Blake Griffin,griffbl01,DET,29512900,31873932,34234964,36595996,38957028,,Bird Rights,132217792,2017,9909,30081773
6,Kyle Lowry,lowryky01,TOR,28703704,31000000,33296296,,,,Bird Rights,93000000,2017,9909,29256979
7,Russell Westbrook,westbru01,OKC,28530608,35350000,38178000,41006000,43848000,,Bird Rights,186912608,2017,9909,29080547
8,Mike Conley,conlemi01,MEM,28530608,30521115,32511623,34504132,,,Cap Space,113989729,2016,9414,28342258
9,James Harden,hardeja01,HOU,28299399,30431854,37800000,40824000,43848000,,Bird Rights,181203253,2017,9909,28844881
10,DeMar DeRozan,derozde01,TOR,27739975,27739975,27739975,27739975,,,Cap Space,83219925,2016,9414,27556844
11,Al Horford,horfoal01,BOS,27734405,28928710,30123015,,,,Cap Space,56663115,2016,9414,27551311
12,Carmelo Anthony,anthoca01,OKC,26243760,27928140,,,,,Bird Rights,26243760,2014,6306,33367386
13,Damian Lillard,lillada01,POR,26153057,27977689,29802321,31626953,,,1st Round Pick,115560020,2015,7000,32351787
14,Jrue Holiday,holidjr01,NOP,25686667,26131111,26131111,26131111,27020000,,Bird Rights,104080000,2017,9909,26181787
16,Kevin Durant,duranke01,GSW,25000000,26250000,,,,,Non-Bird Rights,25000000,2017,9909,25481885
17,Otto Porter,porteot01,WAS,24773250,26011913,27250576,28489239,,,Bird Rights,78035739,2017,9909,25250764
18,Chris Paul,paulch01,HOU,24599495,,,,,,Bird Rights,24599495,2013,5867,31126941
19,C.J. McCollum,mccolcj01,POR,23962573,25759766,27556959,29354152,,,1st Round Pick,106633450,2016,9414,23804379
20,Bradley Beal,bealbr01,WAS,23775506,25434263,27093019,28751775,,,Cap Space,105054563,2016,9414,23618547
21,Anthony Davis,davisan02,NOP,23775506,25434263,27093019,28751775,,,1st Round Pick,76302788,2015,7000,29410715
22,Andre Drummond,drumman01,DET,23775506,25434263,27093019,28751775,,,Cap Space,76302788,2016,9414,23618547
23,Hassan Whiteside,whiteha01,MIA,23775506,25434263,27093018,,,,Cap Space,49209769,2016,9414,23618547
24,Dwight Howard,howardw01,CHO,23500000,23819725,,,,,Cap Space,47319725,2016,9414,23344860
25,Chandler Parsons,parsoch01,MEM,23112004,24107258,25102511,,,,Cap Space,72321773,2016,9414,22959426
26,Harrison Barnes,barneha02,DAL,23112004,24107258,25102512,,,,Cap Space,47219262,2016,9414,22959426
27,J.J. Redick,redicjj01,PHI,23000000,,,,,,Cap space,23000000,2017,9909,23443334
28,Marc Gasol,gasolma01,MEM,22642350,24119025,25595700,,,,Bird Rights,46761375,2015,7000,28008981
29,Kevin Love,loveke01,CLE,22642350,24119025,25595700,,,,Bird Rights,46761375,2015,7000,28008981
30,Brook Lopez,lopezbr01,LAL,22642350,,,,,,Bird Rights,22642350,2015,7000,28008981
31,DeAndre Jordan,jordade01,LAC,22642350,24119025,,,,,Bird Rights,22642350,2015,7000,28008981
32,Steven Adams,adamsst01,OKC,22471910,24157303,25842697,27528090,,,1st Round Pick,100000000,2016,9414,22323557
33,Giannis Antetokounmpo,antetgi01,MIL,22471910,24157303,25842697,27528090,,,1st Round Pick,100000000,2016,9414,22323557
34,Nicolas Batum,batumni01,CHO,22434783,24000000,25565217,27130434,,,Cap Space,72000000,2016,9414,22286675
35,Rudy Gobert,goberru01,UTA,21974719,23491573,25008427,26525281,,,1st Round Pick,97000000,2016,9414,21829649
36,LaMarcus Aldridge,aldrila01,SAS,21461010,22347015,26000000,24000000,,,Cap Space,76808025,2017,9909,21874679
37,Victor Oladipo,oladivi01,IND,21000000,21000000,21000000,21000000,,,1st Round Pick,84000000,2016,9414,20861364
38,Enes Kanter,kanteen01,NYK,20566802,18622514,,,,,Bird Rights,20566802,2015,7000,25441492
39,Danilo Gallinari,gallida01,LAC,20559599,21587579,22615559,,,,Sign and Trade,64762737,2017,9909,20955893
40,Serge Ibaka,ibakase01,TOR,20061729,21666667,23271604,,,,Cap space,65000000,2017,9909,20448426
41,George Hill,hillge01,CLE,20000000,19000000,18000000,,,,Cap space,40000000,2017,9909,20385508
42,Ryan Anderson,anderry01,HOU,19578455,20421546,21264635,,,,Cap Space,61264636,2016,9414,19449204
43,Paul George,georgpa01,OKC,19508958,20703384,,,,,1st Round Pick,19508958,2013,5867,24685636
44,Allen Crabbe,crabbal01,BRK,19332500,18500000,18500000,,,,Cap Space,37832500,2016,9414,19204873
