Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,IND,L,131,140,45,94,.479,12,30,.400,29,32,.906,11,43,22,7,2,20,25,,53,102,.520,9,34,.265,25,32,.781,14,47,29,12,9,14,25
2,2,2017-10-20,,ORL,W,126,121,46,92,.500,9,27,.333,25,35,.714,15,48,22,13,6,18,17,,45,89,.506,18,33,.545,13,15,.867,9,40,30,9,3,22,27
3,3,2017-10-22,,ATL,W,116,104,41,87,.471,11,27,.407,23,34,.676,13,51,27,12,8,18,27,,32,94,.340,7,27,.259,33,36,.917,16,48,21,6,2,16,25
4,4,2017-10-24,@,ORL,L,121,125,40,96,.417,11,35,.314,30,34,.882,14,49,21,8,4,15,27,,41,83,.494,8,23,.348,35,40,.875,6,44,20,8,5,11,23
5,5,2017-10-25,,CLE,W,112,107,40,93,.430,17,46,.370,15,21,.714,10,38,22,11,3,12,22,,39,81,.481,12,35,.343,17,26,.654,9,47,21,5,7,21,17
6,6,2017-10-27,@,NYK,L,86,107,30,75,.400,11,30,.367,15,21,.714,5,35,18,5,1,16,20,,44,98,.449,9,27,.333,10,17,.588,19,55,19,7,6,11,19
7,7,2017-10-29,,DEN,L,111,124,39,96,.406,12,31,.387,21,31,.677,17,56,24,5,4,15,18,,47,94,.500,11,20,.550,19,22,.864,4,46,23,7,7,6,22
8,8,2017-10-31,,PHO,L,114,122,42,102,.412,9,31,.290,21,30,.700,7,44,15,9,4,7,22,,45,96,.469,10,22,.455,22,24,.917,10,66,18,5,5,18,26
9,9,2017-11-03,@,LAL,L,112,124,37,91,.407,9,38,.237,29,38,.763,8,43,23,8,5,16,22,,48,94,.511,9,21,.429,19,27,.704,7,57,26,10,7,16,29
10,10,2017-11-06,@,PHO,W,98,92,35,87,.402,8,32,.250,20,29,.690,11,48,20,10,4,16,30,,30,86,.349,6,25,.240,26,35,.743,14,52,13,8,7,17,29
11,11,2017-11-07,@,DEN,L,104,112,38,89,.427,11,35,.314,17,22,.773,8,47,22,12,6,25,16,,44,93,.473,9,34,.265,15,20,.750,9,47,26,16,9,19,21
12,12,2017-11-10,@,POR,W,101,97,39,91,.429,12,38,.316,11,19,.579,11,49,25,7,4,10,13,,40,95,.421,8,23,.348,9,11,.818,12,51,17,4,4,10,17
13,13,2017-11-11,@,UTA,L,106,114,35,76,.461,7,23,.304,29,39,.744,10,41,13,7,4,17,22,,41,85,.482,11,29,.379,21,25,.840,12,44,19,12,3,16,29
14,14,2017-11-14,,BOS,L,102,109,39,88,.443,14,35,.400,10,16,.625,9,43,26,4,3,14,24,,39,86,.453,9,27,.333,22,27,.815,9,49,15,8,3,14,14
15,15,2017-11-17,,UTA,W,118,107,43,84,.512,17,37,.459,15,20,.750,4,36,27,8,2,12,21,,39,79,.494,12,26,.462,17,24,.708,10,39,21,6,6,16,19
16,16,2017-11-19,,GSW,L,111,118,34,95,.358,16,48,.333,27,39,.692,13,52,24,7,2,13,21,,46,90,.511,10,24,.417,16,23,.696,6,57,29,8,14,15,27
17,17,2017-11-22,@,CLE,L,109,119,42,81,.519,14,37,.378,11,16,.688,8,42,26,5,2,19,21,,43,82,.524,14,34,.412,19,27,.704,4,33,21,8,2,10,19
18,18,2017-11-24,,POR,L,125,127,50,100,.500,10,25,.400,15,21,.714,13,47,25,4,6,9,22,,48,96,.500,6,15,.400,25,35,.714,12,45,24,5,13,7,16
19,19,2017-11-26,@,MEM,W,98,88,33,74,.446,13,29,.448,19,23,.826,12,43,19,7,7,17,22,,32,80,.400,8,25,.320,16,18,.889,11,35,15,8,3,14,24
20,20,2017-11-27,@,HOU,L,103,117,40,86,.465,10,39,.256,13,17,.765,6,43,24,5,4,13,19,,42,86,.488,20,50,.400,13,20,.650,8,42,31,8,4,15,19
21,21,2017-11-29,@,DAL,W,109,104,42,90,.467,11,29,.379,14,25,.560,14,52,25,5,1,14,21,,39,84,.464,9,27,.333,17,21,.810,7,44,26,5,3,11,23
22,22,2017-12-02,,ATL,L,102,114,34,82,.415,17,42,.405,17,21,.810,12,46,26,1,8,19,18,,47,99,.475,10,27,.370,10,14,.714,13,47,18,12,5,8,19
23,23,2017-12-04,@,ATL,W,110,90,41,85,.482,15,36,.417,13,15,.867,12,52,29,7,6,22,28,,30,82,.366,9,30,.300,21,27,.778,9,38,18,9,2,18,19
24,24,2017-12-07,,OKC,W,100,95,35,80,.438,11,37,.297,19,30,.633,7,49,24,3,7,13,21,,38,98,.388,7,24,.292,12,23,.522,17,54,18,6,3,12,25
25,25,2017-12-09,,MIA,L,89,101,33,81,.407,7,27,.259,16,19,.842,8,43,16,3,3,12,17,,42,90,.467,8,27,.296,9,14,.643,8,44,15,6,8,5,17
26,26,2017-12-12,,WAS,W,103,98,34,84,.405,10,43,.233,25,33,.758,9,53,26,4,6,14,21,,38,95,.400,4,22,.182,18,22,.818,12,49,18,8,3,10,26
