Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,CHO,W,102,90,41,96,.427,9,26,.346,11,12,.917,9,47,24,14,3,8,21,,29,73,.397,9,30,.300,23,29,.793,3,47,16,4,3,17,15
2,2,2017-10-20,@,WAS,L,111,115,43,87,.494,10,23,.435,15,20,.750,10,33,19,12,1,19,32,,40,75,.533,6,17,.353,29,35,.829,7,37,25,12,7,16,18
3,3,2017-10-21,@,NYK,W,111,107,44,91,.484,9,30,.300,14,15,.933,15,43,21,5,2,12,25,,37,81,.457,8,30,.267,25,31,.806,12,39,20,6,2,12,21
4,4,2017-10-23,,PHI,L,86,97,33,85,.388,6,30,.200,14,19,.737,9,39,14,5,2,14,21,,35,75,.467,9,24,.375,18,24,.750,8,49,25,11,0,21,24
5,5,2017-10-25,,MIN,W,122,101,48,92,.522,15,34,.441,11,17,.647,12,47,32,7,3,14,22,,37,85,.435,9,25,.360,18,21,.857,7,37,19,5,4,14,19
6,6,2017-10-28,@,LAC,W,95,87,36,88,.409,9,28,.321,14,21,.667,12,50,16,11,6,12,20,,28,84,.333,15,38,.395,16,22,.727,15,51,19,6,6,18,18
7,7,2017-10-29,@,GSW,W,115,107,43,93,.462,12,27,.444,17,17,1.000,17,37,22,16,0,13,9,,44,77,.571,10,27,.370,9,12,.750,10,40,29,3,11,25,14
8,8,2017-10-31,@,LAL,L,93,113,41,94,.436,10,33,.303,1,3,.333,10,44,21,7,3,12,11,,45,91,.495,12,26,.462,11,14,.786,11,53,30,9,5,14,14
9,9,2017-11-03,,MIL,W,105,96,37,78,.474,8,26,.308,23,28,.821,7,39,21,10,4,12,11,,39,83,.470,10,25,.400,8,9,.889,7,36,27,6,6,13,24
10,10,2017-11-04,,SAC,W,108,99,40,79,.506,13,24,.542,15,22,.682,8,35,28,10,3,14,19,,40,76,.526,10,21,.476,9,13,.692,3,32,24,6,1,17,23
11,11,2017-11-08,,IND,W,114,97,43,83,.518,12,27,.444,16,25,.640,8,50,25,3,5,15,22,,38,88,.432,7,24,.292,14,18,.778,7,38,22,8,3,15,24
12,12,2017-11-10,,ATL,W,111,104,39,89,.438,12,30,.400,21,27,.778,20,51,23,7,5,17,18,,44,89,.494,8,24,.333,8,11,.727,11,45,28,11,7,15,21
13,13,2017-11-12,,MIA,W,112,103,42,87,.483,14,28,.500,14,20,.700,11,54,24,2,5,13,17,,39,90,.433,13,37,.351,12,16,.750,7,39,25,8,5,9,22
14,14,2017-11-15,@,MIL,L,95,99,30,85,.353,15,37,.405,20,23,.870,17,45,23,7,3,16,20,,38,78,.487,8,22,.364,15,21,.714,11,43,24,10,16,15,19
15,15,2017-11-17,@,IND,L,100,107,39,93,.419,14,33,.424,8,10,.800,11,43,20,4,8,11,18,,39,89,.438,15,28,.536,14,21,.667,13,51,22,4,5,10,13
16,16,2017-11-19,@,MIN,W,100,97,39,83,.470,8,25,.320,14,20,.700,11,37,25,10,2,19,21,,40,78,.513,5,22,.227,12,18,.667,6,38,23,11,4,20,20
17,17,2017-11-20,,CLE,L,88,116,34,77,.442,13,30,.433,7,13,.538,7,34,23,7,2,14,19,,42,80,.525,16,33,.485,16,17,.941,7,42,28,4,2,11,14
18,18,2017-11-24,@,OKC,W,99,98,39,84,.464,14,37,.378,7,9,.778,8,43,22,6,5,20,17,,42,98,.429,8,32,.250,6,8,.750,13,45,22,13,6,14,12
19,19,2017-11-27,@,BOS,W,118,108,44,85,.518,11,25,.440,19,23,.826,8,40,26,8,2,8,19,,40,77,.519,16,33,.485,12,21,.571,5,36,27,2,4,17,23
20,20,2017-11-29,,PHO,W,131,107,51,89,.573,13,28,.464,16,21,.762,5,44,31,11,6,19,22,,39,84,.464,7,22,.318,22,28,.786,8,37,21,11,4,19,19
21,21,2017-12-01,@,WAS,L,91,109,35,79,.443,9,30,.300,12,19,.632,4,32,20,7,5,15,21,,43,89,.483,7,21,.333,16,19,.842,16,49,28,12,6,11,20
22,22,2017-12-02,@,PHI,L,103,108,34,78,.436,9,31,.290,26,32,.813,7,36,20,8,2,16,27,,35,86,.407,10,28,.357,28,32,.875,17,47,27,7,4,17,24
23,23,2017-12-04,@,SAS,L,93,96,35,85,.412,8,27,.296,15,24,.625,7,42,15,8,2,10,22,,35,82,.427,14,31,.452,12,12,1.000,10,51,30,2,7,16,20
24,24,2017-12-06,@,MIL,L,100,104,36,87,.414,10,30,.333,18,27,.667,17,46,20,5,0,11,20,,39,79,.494,8,22,.364,18,26,.692,13,41,22,7,5,12,21
25,25,2017-12-08,,GSW,L,98,102,38,92,.413,12,27,.444,10,19,.526,15,49,20,8,2,11,17,,39,81,.481,7,26,.269,17,22,.773,5,45,29,5,15,14,19
26,26,2017-12-10,,BOS,L,81,91,28,84,.333,10,33,.303,15,19,.789,11,46,14,7,4,9,16,,33,79,.418,11,30,.367,14,18,.778,9,50,16,4,4,13,18
27,27,2017-12-12,,DEN,L,84,103,28,79,.354,9,25,.360,19,22,.864,11,40,17,7,2,20,16,,40,79,.506,10,30,.333,13,14,.929,6,44,27,8,3,17,15
28,28,2017-12-14,@,ATL,W,105,91,41,90,.456,13,30,.433,10,12,.833,14,46,26,10,3,15,23,,32,70,.457,11,31,.355,16,26,.615,7,34,28,6,6,16,12
29,29,2017-12-15,@,IND,W,104,98,39,93,.419,13,32,.406,13,17,.765,11,44,22,7,10,9,21,,35,87,.402,9,30,.300,19,25,.760,15,51,21,6,4,13,14
30,30,2017-12-17,,ORL,W,114,110,42,89,.472,17,34,.500,13,16,.813,7,39,27,11,3,13,17,,41,85,.482,17,33,.515,11,17,.647,8,40,27,6,4,16,16
31,31,2017-12-20,@,DAL,L,93,110,33,77,.429,7,24,.292,20,22,.909,6,38,19,4,2,12,19,,40,75,.533,14,30,.467,16,20,.800,4,37,22,6,7,12,17
32,32,2017-12-22,,NYK,W,104,101,38,88,.432,10,25,.400,18,25,.720,15,44,19,8,5,11,11,,44,97,.454,8,24,.333,5,6,.833,16,51,25,6,9,14,20
33,33,2017-12-26,,IND,W,107,83,41,82,.500,12,34,.353,13,16,.813,10,46,26,5,1,10,17,,34,77,.442,6,21,.286,9,13,.692,5,26,18,6,3,12,19
34,34,2017-12-28,@,ORL,L,89,102,35,87,.402,9,23,.391,10,14,.714,9,41,20,5,4,15,18,,37,82,.451,11,26,.423,17,17,1.000,9,48,22,10,3,18,18
35,35,2017-12-30,,SAS,W,93,79,36,81,.444,8,24,.333,13,16,.813,6,45,22,10,1,11,11,,31,84,.369,5,26,.192,12,13,.923,10,46,18,8,5,14,13
36,36,2018-01-03,@,MIA,L,104,111,41,86,.477,9,24,.375,13,16,.813,5,35,21,4,2,9,14,,43,84,.512,17,34,.500,8,11,.727,7,41,29,6,3,12,16
37,37,2018-01-05,@,PHI,L,78,114,30,78,.385,7,22,.318,11,19,.579,6,34,20,9,4,12,14,,44,90,.489,14,30,.467,12,13,.923,13,55,29,5,4,12,17
38,38,2018-01-06,,HOU,W,108,101,38,75,.507,12,25,.480,20,27,.741,5,35,21,8,4,11,15,,38,90,.422,15,47,.319,10,11,.909,12,42,29,5,4,13,20
39,39,2018-01-08,@,NOP,L,109,112,41,93,.441,8,27,.296,19,22,.864,12,39,22,5,4,12,18,,46,82,.561,6,22,.273,14,21,.667,9,41,31,7,9,16,18
40,40,2018-01-10,@,BRK,W,114,80,48,93,.516,10,21,.476,8,12,.667,11,54,24,10,4,13,14,,27,74,.365,12,37,.324,14,15,.933,2,35,19,11,2,17,11
41,41,2018-01-13,@,CHI,L,105,107,41,92,.446,12,29,.414,11,14,.786,13,45,28,8,7,12,11,,42,87,.483,17,36,.472,6,9,.667,6,40,27,10,8,14,11
42,42,2018-01-15,,CHO,L,107,118,42,86,.488,15,29,.517,8,11,.727,3,38,27,10,5,16,24,,43,84,.512,10,21,.476,22,33,.667,9,49,21,9,4,15,11
43,43,2018-01-17,@,TOR,L,91,96,37,88,.420,10,28,.357,7,15,.467,11,42,22,14,7,14,20,,34,80,.425,11,31,.355,17,23,.739,12,49,24,6,8,20,20
44,44,2018-01-19,,WAS,L,112,122,40,80,.500,10,30,.333,22,26,.846,7,35,25,8,3,14,22,,41,82,.500,16,35,.457,24,27,.889,8,34,28,10,4,13,20
45,45,2018-01-21,,BRK,L,100,101,38,90,.422,9,29,.310,15,17,.882,7,43,21,3,4,6,19,,37,80,.463,13,31,.419,14,20,.700,7,46,23,1,3,15,18
46,46,2018-01-24,,UTA,L,95,98,38,97,.392,7,31,.226,12,18,.667,15,57,23,10,7,19,16,,38,96,.396,10,31,.323,12,16,.750,9,44,24,11,9,14,15
47,47,2018-01-27,,OKC,L,108,121,39,84,.464,12,33,.364,18,24,.750,13,43,24,4,3,16,20,,45,93,.484,14,33,.424,17,23,.739,13,43,23,9,2,9,20
48,48,2018-01-28,@,CLE,L,104,121,40,95,.421,14,36,.389,10,13,.769,7,43,31,5,6,6,23,,42,83,.506,15,35,.429,22,26,.846,4,45,27,2,3,10,14
49,49,2018-01-30,,CLE,W,125,114,49,93,.527,9,23,.391,18,28,.643,8,47,30,12,5,10,27,,38,84,.452,13,35,.371,25,32,.781,7,41,24,2,5,15,22
50,50,2018-02-01,,MEM,W,104,102,35,76,.461,7,25,.280,27,37,.730,4,41,20,8,4,7,19,,40,96,.417,8,31,.258,14,14,1.000,10,49,22,3,3,9,24
51,51,2018-02-03,,MIA,W,111,107,44,84,.524,9,26,.346,14,17,.824,13,49,23,7,5,17,12,,44,91,.484,14,36,.389,5,7,.714,7,33,30,13,4,11,14
52,52,2018-02-05,,POR,W,111,91,44,88,.500,15,30,.500,8,12,.667,10,51,36,7,4,14,14,,37,94,.394,10,33,.303,7,8,.875,13,45,18,9,5,13,14
53,53,2018-02-07,,BRK,W,115,106,44,92,.478,9,24,.375,18,25,.720,8,46,20,10,3,7,12,,39,90,.433,17,51,.333,11,12,.917,8,50,33,4,6,19,20
54,54,2018-02-09,,LAC,L,95,108,36,88,.409,10,31,.323,13,17,.765,7,40,22,5,5,9,16,,42,91,.462,10,30,.333,14,15,.933,14,57,23,6,3,9,16
55,55,2018-02-11,@,ATL,L,115,118,38,83,.458,13,33,.394,26,33,.788,12,40,30,6,4,15,28,,38,78,.487,10,29,.345,32,37,.865,4,35,27,10,3,13,26
56,56,2018-02-12,,NOP,L,103,118,35,95,.368,9,35,.257,24,32,.750,14,54,18,5,3,14,19,,44,100,.440,14,34,.412,16,16,1.000,10,53,31,6,7,11,25
57,57,2018-02-14,,ATL,W,104,98,35,83,.422,13,33,.394,21,25,.840,10,47,26,3,5,16,18,,38,89,.427,6,33,.182,16,19,.842,8,43,25,9,4,11,21
58,58,2018-02-23,,BOS,L,98,110,37,85,.435,10,33,.303,14,21,.667,12,45,16,4,4,13,18,,41,85,.482,17,39,.436,11,18,.611,10,42,30,8,5,11,22
59,59,2018-02-25,@,CHO,L,98,114,42,85,.494,4,18,.222,10,14,.714,8,41,23,4,2,17,22,,42,88,.477,16,35,.457,14,23,.609,13,47,28,9,4,18,19
60,60,2018-02-26,@,TOR,L,94,123,36,94,.383,7,22,.318,15,20,.750,13,42,20,11,3,13,22,,42,80,.525,17,38,.447,22,23,.957,6,47,31,10,7,18,18
61,61,2018-02-28,,MIL,W,110,87,42,95,.442,9,29,.310,17,22,.773,22,57,26,9,0,9,20,,28,73,.384,8,24,.333,23,28,.821,6,35,16,7,3,13,20
