Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,SAS,L,99,107,37,85,.435,8,19,.421,17,23,.739,11,42,23,7,4,13,16,,41,89,.461,8,21,.381,17,19,.895,12,50,22,8,11,11,18
2,2,2017-10-20,,UTA,W,100,97,36,81,.444,7,22,.318,21,26,.808,10,44,17,11,2,15,17,,37,77,.481,9,22,.409,14,17,.824,7,38,23,10,8,19,21
3,3,2017-10-22,@,OKC,W,115,113,43,86,.500,10,25,.400,19,23,.826,10,45,25,5,1,17,17,,46,96,.479,11,31,.355,10,16,.625,9,36,26,9,6,11,22
4,4,2017-10-24,,IND,L,107,130,42,86,.488,9,24,.375,14,22,.636,9,27,27,9,4,14,14,,56,84,.667,10,22,.455,8,11,.727,8,42,31,8,2,17,21
5,5,2017-10-25,@,DET,L,101,122,37,85,.435,9,25,.360,18,21,.857,7,37,19,5,4,14,19,,48,92,.522,15,34,.441,11,17,.647,12,47,32,7,3,14,22
6,6,2017-10-27,,OKC,W,119,116,42,86,.488,8,22,.364,27,35,.771,17,44,23,5,7,15,21,,43,86,.500,8,28,.286,22,25,.880,11,35,19,8,9,14,29
7,7,2017-10-30,@,MIA,W,125,122,41,91,.451,11,23,.478,32,35,.914,10,40,20,16,4,16,25,,49,93,.527,7,27,.259,17,25,.680,15,49,17,8,5,24,28
8,8,2017-11-01,@,NOP,W,104,98,41,83,.494,6,22,.273,16,24,.667,11,47,20,13,3,21,21,,36,84,.429,8,31,.258,18,21,.857,9,38,27,13,4,19,24
9,9,2017-11-04,,DAL,W,112,99,43,79,.544,10,24,.417,16,20,.800,10,48,33,7,8,18,20,,40,86,.465,10,27,.370,9,12,.750,7,31,18,7,2,16,19
10,10,2017-11-05,,CHO,W,112,94,38,83,.458,10,24,.417,26,30,.867,12,54,20,4,4,16,19,,37,89,.416,9,28,.321,11,21,.524,10,40,24,8,3,11,24
11,11,2017-11-08,@,GSW,L,101,125,38,92,.413,5,24,.208,20,27,.741,9,41,21,15,0,13,14,,48,85,.565,15,36,.417,14,18,.778,3,45,37,10,9,19,23
12,12,2017-11-11,@,PHO,L,110,118,39,96,.406,4,20,.200,28,35,.800,19,47,16,12,4,11,21,,46,86,.535,10,26,.385,16,24,.667,7,46,21,4,10,18,25
13,13,2017-11-13,@,UTA,W,109,98,37,71,.521,10,20,.500,25,29,.862,5,40,22,9,5,15,13,,37,84,.440,14,40,.350,10,11,.909,8,31,23,8,4,15,23
14,14,2017-11-15,,SAS,W,98,86,39,87,.448,9,18,.500,11,16,.688,11,41,27,9,4,6,16,,33,79,.418,7,24,.292,13,15,.867,13,45,20,4,4,16,18
15,15,2017-11-17,@,DAL,W,111,87,39,84,.464,13,30,.433,20,23,.870,11,48,27,7,0,10,18,,32,86,.372,8,38,.211,15,17,.882,11,41,18,3,3,11,20
16,16,2017-11-19,,DET,L,97,100,40,78,.513,5,22,.227,12,18,.667,6,38,23,11,4,20,20,,39,83,.470,8,25,.320,14,20,.700,11,37,25,10,2,19,21
17,17,2017-11-20,@,CHO,L,102,118,37,90,.411,6,27,.222,22,26,.846,10,38,13,8,6,10,21,,42,85,.494,11,26,.423,23,29,.793,11,52,22,5,7,17,18
18,18,2017-11-22,,ORL,W,124,118,40,87,.460,8,23,.348,36,45,.800,10,42,22,9,3,7,17,,46,91,.505,12,37,.324,14,22,.636,7,44,28,4,4,14,31
19,19,2017-11-24,,MIA,L,97,109,37,84,.440,7,17,.412,16,26,.615,13,44,21,9,3,10,16,,38,80,.475,19,39,.487,14,16,.875,9,42,29,4,4,13,24
20,20,2017-11-26,,PHO,W,119,108,49,93,.527,9,21,.429,12,17,.706,19,48,24,12,5,10,14,,43,85,.506,13,26,.500,9,12,.750,11,37,25,6,1,15,20
21,21,2017-11-28,,WAS,L,89,92,35,85,.412,10,30,.333,9,14,.643,13,49,27,3,1,10,17,,36,83,.434,10,28,.357,10,17,.588,9,44,23,5,4,7,16
22,22,2017-11-29,@,NOP,W,120,102,47,81,.580,9,23,.391,17,19,.895,10,44,30,10,1,17,14,,39,84,.464,14,35,.400,10,11,.909,8,28,27,8,2,16,17
23,23,2017-12-01,@,OKC,L,107,111,39,76,.513,12,24,.500,17,21,.810,6,26,26,7,5,16,20,,41,79,.519,8,26,.308,21,22,.955,13,42,28,7,7,18,24
24,24,2017-12-03,,LAC,W,112,106,38,88,.432,8,26,.308,28,31,.903,14,42,22,9,1,7,16,,37,73,.507,15,34,.441,17,22,.773,8,37,21,3,7,16,26
25,25,2017-12-04,@,MEM,L,92,95,35,79,.443,4,17,.235,18,19,.947,7,34,17,9,2,9,16,,34,72,.472,6,21,.286,21,24,.875,6,41,22,6,8,16,22
26,26,2017-12-06,@,LAC,W,113,107,45,82,.549,7,19,.368,16,21,.762,8,46,29,4,7,15,17,,44,99,.444,10,32,.313,9,15,.600,17,43,23,6,3,9,17
27,27,2017-12-10,,DAL,W,97,92,36,72,.500,7,19,.368,18,23,.783,9,45,19,7,2,18,19,,37,81,.457,11,31,.355,7,9,.778,6,33,23,6,5,10,22
