Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-19,@,OKC,L,84,105,32,79,.405,7,24,.292,13,19,.684,11,41,19,8,4,25,23,,39,90,.433,11,38,.289,16,22,.727,13,41,26,14,7,18,22
2,2,2017-10-21,,DET,L,107,111,37,81,.457,8,30,.267,25,31,.806,12,39,20,6,2,12,21,,44,91,.484,9,30,.300,14,15,.933,15,43,21,5,2,12,25
3,3,2017-10-24,@,BOS,L,89,110,36,85,.424,1,12,.083,16,25,.640,11,43,20,8,2,14,17,,37,75,.493,14,29,.483,22,27,.815,5,41,26,11,7,12,24
4,4,2017-10-27,,BRK,W,107,86,44,98,.449,9,27,.333,10,17,.588,19,55,19,7,6,11,19,,30,75,.400,11,30,.367,15,21,.714,5,35,18,5,1,16,20
5,5,2017-10-29,@,CLE,W,114,95,42,89,.472,13,28,.464,17,21,.810,11,51,27,9,6,14,26,,31,81,.383,10,33,.303,23,27,.852,7,41,20,5,5,15,23
6,6,2017-10-30,,DEN,W,116,110,41,82,.500,13,32,.406,21,23,.913,11,49,27,8,10,22,27,,35,85,.412,18,41,.439,22,31,.710,13,36,20,13,5,13,22
7,7,2017-11-01,,HOU,L,97,119,39,90,.433,8,26,.308,11,13,.846,6,42,23,8,1,19,18,,42,88,.477,19,52,.365,16,21,.762,9,46,21,6,4,14,20
8,8,2017-11-03,,PHO,W,120,107,45,87,.517,8,26,.308,22,25,.880,9,49,24,5,7,12,24,,34,97,.351,9,32,.281,30,37,.811,20,47,17,7,3,10,25
9,9,2017-11-05,,IND,W,108,101,44,88,.500,6,23,.261,14,19,.737,12,46,24,8,7,12,21,,37,79,.468,12,25,.480,15,17,.882,4,34,24,6,2,12,17
10,10,2017-11-07,,CHO,W,118,113,45,75,.600,12,25,.480,16,21,.762,6,35,29,5,5,16,19,,42,91,.462,15,37,.405,14,17,.824,17,40,24,8,2,13,22
11,11,2017-11-08,@,ORL,L,99,112,42,80,.525,5,12,.417,10,13,.769,12,42,26,7,2,23,21,,43,80,.538,13,28,.464,13,22,.591,6,29,31,16,7,12,15
12,12,2017-11-11,,SAC,W,118,91,47,90,.522,12,27,.444,12,15,.800,8,40,29,6,6,11,22,,30,80,.375,7,22,.318,24,30,.800,11,42,19,6,4,13,18
13,13,2017-11-13,,CLE,L,101,104,38,88,.432,8,25,.320,17,22,.773,13,49,19,13,3,17,21,,35,88,.398,16,45,.356,18,22,.818,14,48,21,7,7,20,21
14,14,2017-11-15,,UTA,W,106,101,38,81,.469,9,21,.429,21,25,.840,12,45,18,4,5,11,19,,34,79,.430,17,35,.486,16,17,.941,9,37,19,5,10,13,23
15,15,2017-11-17,@,TOR,L,84,107,30,91,.330,9,23,.391,15,17,.882,14,43,17,7,4,9,12,,44,78,.564,9,26,.346,10,11,.909,3,40,29,4,11,12,19
16,16,2017-11-20,,LAC,W,107,85,35,81,.432,13,34,.382,24,25,.960,14,51,24,11,5,22,26,,30,80,.375,10,32,.313,15,21,.714,10,36,20,12,3,21,23
17,17,2017-11-22,,TOR,W,108,100,43,93,.462,8,24,.333,14,17,.824,13,47,29,8,7,11,19,,37,87,.425,14,38,.368,12,18,.667,12,42,21,4,10,15,23
18,18,2017-11-24,@,ATL,L,104,116,40,79,.506,12,30,.400,12,14,.857,5,38,30,1,9,20,19,,47,99,.475,13,31,.419,9,12,.750,13,40,30,7,2,9,16
19,19,2017-11-25,@,HOU,L,102,117,42,85,.494,4,17,.235,14,19,.737,6,40,29,4,3,18,20,,41,94,.436,18,47,.383,17,22,.773,9,42,30,12,6,7,15
20,20,2017-11-27,,POR,L,91,103,35,88,.398,5,15,.333,16,22,.727,14,51,13,3,3,13,20,,37,83,.446,7,21,.333,22,26,.846,5,45,18,10,3,9,22
21,21,2017-11-29,,MIA,W,115,86,44,73,.603,5,13,.385,22,26,.846,8,52,26,10,5,20,20,,32,84,.381,10,38,.263,12,20,.600,9,31,21,13,4,15,20
22,22,2017-12-03,,ORL,L,100,105,43,93,.462,5,15,.333,9,10,.900,10,45,18,4,4,14,24,,37,82,.451,6,28,.214,25,29,.862,8,42,19,8,3,10,11
23,23,2017-12-04,@,IND,L,97,115,40,91,.440,6,23,.261,11,16,.688,15,43,26,4,2,17,15,,46,86,.535,11,26,.423,12,15,.800,7,44,28,10,5,16,20
24,24,2017-12-06,,MEM,W,99,88,35,67,.522,9,14,.643,20,27,.741,10,42,22,8,3,16,21,,29,70,.414,12,28,.429,18,22,.818,4,27,14,8,5,15,24
25,25,2017-12-09,@,CHI,L,102,104,43,91,.473,7,24,.292,9,9,1.000,8,40,25,6,3,14,17,,42,82,.512,7,25,.280,13,23,.565,8,40,28,10,7,14,19
26,26,2017-12-10,,ATL,W,111,107,39,80,.488,5,17,.294,28,34,.824,6,33,16,9,4,12,30,,37,77,.481,9,31,.290,24,30,.800,6,35,22,5,4,16,28
27,27,2017-12-12,,LAL,W,113,109,48,101,.475,9,22,.409,8,11,.727,15,49,25,7,7,14,16,,42,102,.412,13,35,.371,12,15,.800,20,52,24,6,6,16,19
28,28,2017-12-14,@,BRK,W,111,104,41,89,.461,10,20,.500,19,22,.864,12,40,23,11,4,13,23,,37,83,.446,12,42,.286,18,23,.783,11,43,21,10,4,17,21
29,29,2017-12-16,,OKC,W,111,96,38,69,.551,14,23,.609,21,26,.808,6,35,21,9,3,13,22,,36,85,.424,12,27,.444,12,20,.600,16,42,18,9,7,14,22
30,30,2017-12-18,@,CHO,L,91,109,36,86,.419,3,18,.167,16,20,.800,10,37,21,10,5,17,16,,43,88,.489,9,20,.450,14,16,.875,12,47,30,10,6,19,16
31,31,2017-12-21,,BOS,W,102,93,36,79,.456,8,14,.571,22,26,.846,11,49,13,8,3,17,20,,33,86,.384,13,38,.342,14,19,.737,9,35,17,11,1,10,20
32,32,2017-12-22,@,DET,L,101,104,44,97,.454,8,24,.333,5,6,.833,16,51,25,6,9,14,20,,38,88,.432,10,25,.400,18,25,.720,15,44,19,8,5,11,11
33,33,2017-12-25,,PHI,L,98,105,38,94,.404,4,15,.267,18,28,.643,18,45,18,7,5,10,21,,35,82,.427,10,28,.357,25,30,.833,12,48,21,7,7,15,22
34,34,2017-12-27,@,CHI,L,87,92,37,91,.407,4,23,.174,9,13,.692,7,51,21,6,5,12,17,,35,86,.407,10,28,.357,12,16,.750,4,50,23,9,3,15,15
35,35,2017-12-28,@,SAS,L,107,119,41,90,.456,5,14,.357,20,22,.909,12,44,31,6,8,9,26,,41,80,.513,9,20,.450,28,39,.718,10,43,28,2,4,9,18
36,36,2017-12-30,@,NOP,W,105,103,41,94,.436,5,19,.263,18,21,.857,9,51,24,6,7,6,24,,38,84,.452,6,26,.231,21,27,.778,4,48,24,3,5,10,19
37,37,2018-01-02,,SAS,L,91,100,35,87,.402,7,22,.318,14,18,.778,12,50,21,5,7,14,23,,31,82,.378,10,27,.370,28,34,.824,14,50,18,11,5,8,17
38,38,2018-01-03,@,WAS,L,103,121,41,86,.477,7,19,.368,14,18,.778,8,36,19,7,5,14,20,,48,81,.593,9,23,.391,16,26,.615,6,42,27,9,5,12,21
39,39,2018-01-05,@,MIA,L,103,107,39,80,.488,5,13,.385,20,23,.870,8,39,14,11,7,19,26,,38,94,.404,12,42,.286,19,20,.950,15,44,24,10,5,14,19
40,40,2018-01-07,@,DAL,W,100,96,38,83,.458,6,16,.375,18,20,.900,10,59,22,4,6,16,23,,35,92,.380,6,24,.250,20,24,.833,9,40,22,7,3,7,20
41,41,2018-01-10,,CHI,L,119,122,48,96,.500,10,22,.455,13,21,.619,11,51,24,5,9,18,20,,45,98,.459,15,33,.455,17,20,.850,10,48,21,10,5,16,19
42,42,2018-01-12,@,MIN,L,108,118,45,83,.542,12,24,.500,6,9,.667,9,36,25,6,6,16,17,,49,95,.516,10,27,.370,10,16,.625,16,43,33,12,4,12,12
43,43,2018-01-14,,NOP,L,118,123,46,97,.474,12,34,.353,14,18,.778,10,44,28,12,7,22,27,,45,95,.474,9,32,.281,24,34,.706,12,46,19,17,7,19,17
44,44,2018-01-15,@,BRK,W,119,104,42,82,.512,9,16,.563,26,37,.703,8,51,27,5,10,9,24,,32,87,.368,11,32,.344,29,36,.806,11,44,16,5,3,11,23
45,45,2018-01-17,@,MEM,L,99,105,35,82,.427,7,27,.259,22,23,.957,12,45,22,5,12,14,15,,41,91,.451,10,28,.357,13,17,.765,15,44,23,9,3,11,19
46,46,2018-01-19,@,UTA,W,117,115,44,89,.494,11,20,.550,18,23,.783,7,36,23,6,6,12,26,,42,91,.462,11,31,.355,20,30,.667,15,52,19,4,6,17,20
47,47,2018-01-21,@,LAL,L,107,127,44,81,.543,12,25,.480,7,10,.700,7,33,32,3,5,17,20,,51,91,.560,10,26,.385,15,21,.714,12,39,31,10,3,6,18
48,48,2018-01-23,@,GSW,L,112,123,43,83,.518,9,22,.409,17,19,.895,6,38,28,4,0,13,20,,46,83,.554,13,30,.433,18,20,.900,3,36,40,6,3,12,16
49,49,2018-01-25,@,DEN,L,118,130,45,82,.549,8,21,.381,20,24,.833,3,33,32,9,5,10,20,,48,80,.600,14,28,.500,20,24,.833,2,32,36,3,2,13,20
50,50,2018-01-26,@,PHO,W,107,85,41,85,.482,9,25,.360,16,22,.727,10,49,25,7,10,16,20,,33,94,.351,11,33,.333,8,13,.615,12,42,15,6,3,14,24
51,51,2018-01-30,,BRK,W,111,95,39,89,.438,13,26,.500,20,25,.800,12,47,22,6,6,11,13,,36,87,.414,9,37,.243,14,16,.875,11,49,15,6,3,17,21
52,52,2018-01-31,@,BOS,L,73,103,28,87,.322,3,17,.176,14,21,.667,9,44,16,4,4,14,17,,40,83,.482,11,26,.423,12,20,.600,5,49,27,8,3,9,22
53,53,2018-02-02,@,MIL,L,90,92,36,89,.404,5,25,.200,13,17,.765,18,57,24,7,4,18,21,,33,76,.434,7,24,.292,19,26,.731,4,36,18,10,8,11,21
54,54,2018-02-04,,ATL,L,96,99,41,94,.436,5,23,.217,9,15,.600,16,48,16,10,8,15,16,,35,87,.402,15,33,.455,14,19,.737,13,44,25,6,3,16,12
55,55,2018-02-06,,MIL,L,89,103,37,89,.416,5,23,.217,10,15,.667,11,47,20,5,6,17,19,,37,82,.451,8,26,.308,21,27,.778,8,43,23,11,6,14,17
56,56,2018-02-08,@,TOR,L,88,113,33,83,.398,7,27,.259,15,18,.833,5,43,19,4,8,15,15,,43,95,.453,16,43,.372,11,14,.786,9,52,31,11,5,8,17
57,57,2018-02-11,@,IND,L,113,121,41,93,.441,9,35,.257,22,25,.880,12,45,27,8,3,11,18,,47,94,.500,12,28,.429,15,22,.682,16,54,27,7,5,13,16
58,58,2018-02-12,@,PHI,L,92,108,31,79,.392,6,24,.250,24,28,.857,7,33,16,5,4,19,22,,41,75,.547,10,19,.526,16,24,.667,7,37,27,13,6,17,22
59,59,2018-02-14,,WAS,L,113,118,45,97,.464,9,19,.474,14,18,.778,11,42,21,7,1,10,17,,48,88,.545,7,22,.318,15,19,.789,6,45,31,7,9,11,16
60,60,2018-02-22,@,ORL,W,120,113,48,99,.485,7,25,.280,17,21,.810,16,47,28,7,12,8,15,,43,83,.518,11,24,.458,16,23,.696,5,39,28,7,5,13,15
61,61,2018-02-24,,BOS,L,112,121,45,96,.469,6,27,.222,16,20,.800,13,49,20,10,4,14,22,,42,93,.452,13,33,.394,24,28,.857,11,45,21,11,5,11,15
62,62,2018-02-26,,GSW,L,111,125,47,96,.490,10,25,.400,7,9,.778,10,39,28,7,3,14,18,,44,85,.518,15,31,.484,22,26,.846,8,43,31,8,5,12,13
63,63,2018-03-02,@,LAC,L,105,128,41,89,.461,11,25,.440,12,16,.750,10,33,24,4,4,17,22,,50,89,.562,9,25,.360,19,24,.792,14,51,34,14,6,11,17
64,64,2018-03-04,@,SAC,L,99,102,40,88,.455,6,21,.286,13,18,.722,15,48,21,8,7,13,19,,39,86,.453,13,30,.433,11,11,1.000,7,38,21,5,5,11,18
65,65,2018-03-06,@,POR,L,87,111,35,83,.422,7,19,.368,10,15,.667,9,39,21,7,7,14,19,,35,81,.432,20,33,.606,21,24,.875,15,51,22,4,4,19,15
66,66,2018-03-09,@,MIL,L,112,120,47,98,.480,7,28,.250,11,14,.786,11,39,24,6,5,11,26,,41,73,.562,8,18,.444,30,39,.769,6,42,29,8,6,14,16
67,67,2018-03-11,,TOR,L,106,132,40,88,.455,7,21,.333,19,24,.792,8,37,21,7,4,10,19,,47,93,.505,16,35,.457,22,25,.880,14,52,32,3,3,11,19
68,68,2018-03-13,,DAL,L,97,110,40,82,.488,8,25,.320,9,12,.750,10,44,19,9,1,19,18,,40,89,.449,14,35,.400,16,18,.889,12,40,22,11,1,12,15
69,69,2018-03-15,,PHI,L,110,118,45,87,.517,5,20,.250,15,24,.625,8,44,26,8,4,12,25,,41,91,.451,15,37,.405,21,34,.618,19,53,29,8,3,14,21
70,70,2018-03-17,,CHO,W,124,101,49,100,.490,12,26,.462,14,18,.778,12,56,24,7,5,8,22,,33,90,.367,9,33,.273,26,32,.813,13,50,11,7,5,10,13
71,71,2018-03-19,,CHI,W,110,92,43,96,.448,11,35,.314,13,17,.765,15,61,28,6,7,16,24,,33,92,.359,3,30,.100,23,31,.742,14,48,21,9,7,11,15
72,72,2018-03-21,@,MIA,L,98,119,39,89,.438,10,31,.323,10,12,.833,13,40,21,6,1,14,16,,45,81,.556,15,34,.441,14,19,.737,5,32,31,9,2,7,17
73,73,2018-03-23,,MIN,L,104,108,40,92,.435,12,28,.429,12,17,.706,10,42,25,9,0,10,27,,35,75,.467,10,26,.385,28,32,.875,6,45,23,6,6,14,15
74,74,2018-03-25,@,WAS,W,101,97,41,88,.466,6,22,.273,13,15,.867,10,44,26,10,6,14,19,,37,87,.425,6,19,.316,17,23,.739,14,46,25,10,7,14,16
75,75,2018-03-26,@,CHO,L,128,137,54,105,.514,9,30,.300,11,11,1.000,11,41,25,6,1,10,27,,51,93,.548,11,28,.393,24,28,.857,11,43,25,5,4,14,12
76,76,2018-03-28,@,PHI,L,101,118,36,94,.383,9,31,.290,20,26,.769,10,46,20,4,5,16,22,,45,98,.459,9,31,.290,19,27,.704,14,58,34,9,3,12,19
77,77,2018-03-31,,DET,L,109,115,43,91,.473,13,29,.448,10,12,.833,9,40,31,4,1,14,18,,44,85,.518,10,24,.417,17,22,.773,10,43,24,8,5,9,15
78,78,2018-04-03,,ORL,L,73,97,30,86,.349,4,27,.148,9,12,.750,7,42,17,5,9,11,17,,37,88,.420,11,36,.306,12,18,.667,11,53,28,7,5,11,12
79,79,2018-04-06,,MIA,W,122,98,45,89,.506,18,37,.486,14,21,.667,9,51,33,7,5,12,23,,35,88,.398,7,27,.259,21,22,.955,7,42,20,7,5,13,19
80,80,2018-04-07,,MIL,L,102,115,41,95,.432,9,21,.429,11,11,1.000,13,44,30,3,7,8,17,,45,93,.484,10,25,.400,15,17,.882,12,48,30,6,10,10,13
81,81,2018-04-09,,CLE,L,109,123,46,87,.529,11,30,.367,6,12,.500,8,37,26,4,7,14,20,,40,85,.471,19,45,.422,24,28,.857,7,42,29,9,2,10,15
82,82,2018-04-11,@,CLE,W,110,98,43,85,.506,12,27,.444,12,13,.923,8,39,30,10,3,15,22,,37,94,.394,6,24,.250,18,28,.643,17,48,15,9,3,14,15
