Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,,DEN,W,106,96,41,81,.506,9,24,.375,15,16,.938,6,36,28,9,5,15,18,,36,77,.468,13,27,.481,11,12,.917,7,38,21,4,3,20,18
2,2,2017-10-20,@,MIN,L,97,100,37,77,.481,9,22,.409,14,17,.824,7,38,23,10,8,19,21,,36,81,.444,7,22,.318,21,26,.808,10,44,17,11,2,15,17
3,3,2017-10-21,,OKC,W,96,87,38,77,.494,9,29,.310,11,14,.786,7,41,22,11,4,18,21,,32,78,.410,11,33,.333,12,19,.632,8,38,15,14,4,17,16
4,4,2017-10-24,@,LAC,L,84,102,34,79,.430,7,28,.250,9,11,.818,8,41,20,7,7,18,23,,39,83,.470,10,29,.345,14,21,.667,11,44,21,12,4,13,16
5,5,2017-10-25,@,PHO,L,88,97,32,77,.416,6,25,.240,18,25,.720,7,44,20,8,10,23,19,,42,96,.438,6,19,.316,7,9,.778,16,55,18,8,5,16,25
6,6,2017-10-28,,LAL,W,96,81,37,79,.468,13,31,.419,9,13,.692,14,49,18,9,5,21,20,,31,81,.383,5,22,.227,14,20,.700,14,39,17,12,4,16,20
7,7,2017-10-30,,DAL,W,104,89,38,81,.469,16,35,.457,12,15,.800,6,35,25,16,8,14,17,,34,76,.447,12,24,.500,9,11,.818,9,42,17,4,3,24,16
8,8,2017-11-01,,POR,W,112,103,34,90,.378,13,29,.448,31,36,.861,10,55,16,9,8,14,21,,37,93,.398,9,34,.265,20,27,.741,11,53,17,8,8,17,25
9,9,2017-11-03,,TOR,L,100,109,35,80,.438,8,23,.348,22,24,.917,10,33,11,9,5,13,25,,38,71,.535,11,30,.367,22,28,.786,5,39,20,9,4,16,27
10,10,2017-11-05,@,HOU,L,110,137,38,88,.432,13,34,.382,21,24,.875,8,33,22,7,3,13,18,,48,81,.593,23,39,.590,18,21,.857,5,42,26,9,7,20,24
11,11,2017-11-07,,PHI,L,97,104,30,99,.303,9,39,.231,28,35,.800,14,45,15,14,6,12,23,,34,81,.420,12,27,.444,24,30,.800,8,56,23,5,6,22,34
12,12,2017-11-10,,MIA,L,74,84,25,74,.338,5,21,.238,19,22,.864,4,40,12,10,7,17,20,,30,77,.390,10,25,.400,14,18,.778,7,48,10,9,6,19,20
13,13,2017-11-11,,BRK,W,114,106,41,85,.482,11,29,.379,21,25,.840,12,44,19,12,3,16,29,,35,76,.461,7,23,.304,29,39,.744,10,41,13,7,4,17,22
14,14,2017-11-13,,MIN,L,98,109,37,84,.440,14,40,.350,10,11,.909,8,31,23,8,4,15,23,,37,71,.521,10,20,.500,25,29,.862,5,40,22,9,5,15,13
15,15,2017-11-15,@,NYK,L,101,106,34,79,.430,17,35,.486,16,17,.941,9,37,19,5,10,13,23,,38,81,.469,9,21,.429,21,25,.840,12,45,18,4,5,11,19
16,16,2017-11-17,@,BRK,L,107,118,39,79,.494,12,26,.462,17,24,.708,10,39,21,6,6,16,19,,43,84,.512,17,37,.459,15,20,.750,4,36,27,8,2,12,21
17,17,2017-11-18,@,ORL,W,125,85,47,98,.480,14,34,.412,17,18,.944,14,54,31,10,4,10,19,,31,81,.383,8,29,.276,15,23,.652,11,46,13,10,5,16,20
18,18,2017-11-20,@,PHI,L,86,107,30,85,.353,9,28,.321,17,19,.895,7,34,18,16,4,14,19,,44,85,.518,4,15,.267,15,22,.682,9,55,20,11,7,19,18
19,19,2017-11-22,,CHI,W,110,80,40,86,.465,14,35,.400,16,19,.842,8,45,23,10,5,7,15,,29,78,.372,5,21,.238,17,20,.850,8,43,15,3,1,16,21
20,20,2017-11-25,,MIL,W,121,108,46,81,.568,18,32,.563,11,19,.579,5,30,31,8,2,10,19,,41,77,.532,8,21,.381,18,23,.783,8,40,19,5,6,16,21
21,21,2017-11-28,,DEN,W,106,77,42,87,.483,14,32,.438,8,9,.889,9,43,24,7,6,11,20,,28,78,.359,7,34,.206,14,16,.875,12,42,13,6,4,17,13
22,22,2017-11-30,@,LAC,W,126,107,49,85,.576,17,35,.486,11,14,.786,10,33,38,13,2,13,20,,38,70,.543,10,29,.345,21,30,.700,10,36,23,8,6,19,16
23,23,2017-12-01,,NOP,W,114,108,42,85,.494,12,30,.400,18,25,.720,8,46,25,7,3,7,15,,42,87,.483,15,30,.500,9,15,.600,6,42,28,4,7,10,20
24,24,2017-12-04,,WAS,W,116,69,43,76,.566,16,34,.471,14,18,.778,10,52,29,9,3,16,20,,23,80,.288,4,20,.200,19,23,.826,12,31,9,8,2,13,21
25,25,2017-12-05,@,OKC,L,94,100,34,79,.430,11,33,.333,15,21,.714,9,35,18,16,5,16,21,,39,81,.481,4,18,.222,18,26,.692,12,46,18,11,6,18,18
