Player,ID
Stephen Curry,curryst01
LeBron James,jamesle01
Paul Millsap,millspa01
Gordon Hayward,haywago01
Blake Griffin,griffbl01
Kyle Lowry,lowryky01
Russell Westbrook,westbru01
Mike Conley,conlemi01
James Harden,hardeja01
DeMar DeRozan,derozde01
Al Horford,horfoal01
Carmelo Anthony,anthoca01
Damian Lillard,lillada01
Jrue Holiday,holidjr01
Chris Bosh,boshch01
Kevin Durant,duranke01
Otto Porter,porteot01
Chris Paul,paulch01
C.J. McCollum,mccolcj01
Bradley Beal,bealbr01
Anthony Davis,davisan02
Andre Drummond,drumman01
Hassan Whiteside,whiteha01
Dwight Howard,howardw01
Chandler Parsons,parsoch01
Harrison Barnes,barneha02
J.J. Redick,redicjj01
Marc Gasol,gasolma01
Kevin Love,loveke01
Brook Lopez,lopezbr01
DeAndre Jordan,jordade01
Steven Adams,adamsst01
Giannis Antetokounmpo,antetgi01
Nicolas Batum,batumni01
Rudy Gobert,goberru01
LaMarcus Aldridge,aldrila01
Victor Oladipo,oladivi01
Enes Kanter,kanteen01
Danilo Gallinari,gallida01
Serge Ibaka,ibakase01
George Hill,hillge01
Ryan Anderson,anderry01
Paul George,georgpa01
Allen Crabbe,crabbal01
Jimmy Butler,butleji01
Jeff Teague,teaguje01
Kawhi Leonard,leonaka01
Kyrie Irving,irvinky01
John Wall,walljo01
DeMarcus Cousins,couside01
Greg Monroe,monrogr01
Wesley Matthews,matthwe02
Klay Thompson,thompkl01
Joakim Noah,noahjo01
Kentavious Caldwell-Pope,caldwke01
Luol Deng,denglu01
Evan Turner,turneev01
Goran Dragic,dragigo01
Evan Fournier,fournev01
Bismack Biyombo,biyombi01
Kent Bazemore,bazemke01
Robert Covington,covinro01
Ian Mahinmi,mahinia01
Tim Hardaway,hardati02
Draymond Green,greendr01
Tristan Thompson,thomptr01
Reggie Jackson,jacksre01
Pau Gasol,gasolpa01
Tobias Harris,harrito02
Dwyane Wade,wadedw01
Dennis Schroder,schrode01
Jonas Valanciunas,valanjo01
Tony Parker,parketo01
Timofey Mozgov,mozgoti01
Andre Iguodala,iguodan01
DeMarre Carroll,carrode01
Thaddeus Young,youngth01
Eric Bledsoe,bledser01
Ricky Rubio,rubiori01
Joe Ingles,inglejo01
Gorgui Dieng,dienggo01
Khris Middleton,middlkh01
Mason Plumlee,plumlma01
Taj Gibson,gibsota01
James Johnson,johnsja01
Robin Lopez,lopezro01
J.R. Smith,smithjr01
Brandon Knight,knighbr03
Marvin Williams,willima02
Tyson Chandler,chandty01
Michael Kidd-Gilchrist,kiddgmi01
Eric Gordon,gordoer01
Kenneth Faried,farieke01
Marcin Gortat,gortama01
Cody Zeller,zelleco01
Miles Plumlee,plumlmi01
Nikola Mirotic,mirotni01
Zach Randolph,randoza01
Nikola Vucevic,vucevni01
Solomon Hill,hillso01
Wilson Chandler,chandwi01
Jeremy Lin,linje01
Kemba Walker,walkeke02
Derrick Favors,favorde01
Austin Rivers,riverau01
Courtney Lee,leeco01
Nikola Pekovic,pekovni01
Jordan Clarkson,clarkjo01
John Henson,hensojo01
Dion Waiters,waitedi01
Amir Johnson,johnsam01
Jamal Crawford,crawfja01
Alec Burks,burksal01
Patty Mills,millspa02
Kelly Olynyk,olynyke01
Omer Asik,asikom01
Terrence Ross,rosste01
Mirza Teletovic,teletmi01
Bojan Bogdanovic,bogdabo02
Jon Leuer,leuerjo01
Iman Shumpert,shumpim01
Maurice Harkless,harklma01
Jared Dudley,dudleja01
Darren Collison,collida01
Danny Green,greenda02
Meyers Leonard,leoname01
Tony Snell,snellto01
Al Jefferson,jeffeal01
Matthew Dellavedova,dellama01
Joe Johnson,johnsjo02
Bogdan Bogdanovic,bogdabo01
Andre Roberson,roberan03
Trevor Booker,booketr01
Dwight Powell,poweldw01
Jerryd Bayless,bayleje01
Avery Bradley,bradlav01
JaMychal Green,greenja01
E'Twaun Moore,mooreet01
Rudy Gay,gayru01
Kosta Koufos,koufoko01
Markieff Morris,morrima02
Garrett Temple,templga01
Vince Carter,cartevi01
C.J. Miles,milescj01
Cristiano Felicio,feliccr01
Shaun Livingston,livinsh01
Cory Joseph,josepco01
P.J. Tucker,tuckepj01
Corey Brewer,breweco01
Andrew Wiggins,wiggian01
Darrell Arthur,arthuda01
Channing Frye,fryech01
Trevor Ariza,arizatr01
Al-Farouq Aminu,aminual01
Cole Aldrich,aldrico01
D.J. Augustin,augusdj01
Markelle Fultz,fultzma01
Lou Williams,willilo02
Kyle Korver,korveky01
Jeremy Lamb,lambje01
Boban Marjanovic,marjabo01
Jae Crowder,crowdja01
Jabari Parker,parkeja01
Langston Galloway,gallola01
Lance Thomas,thomala01
Ed Davis,davised01
Marco Belinelli,belinma01
Jonathon Simmons,simmojo02
Lonzo Ball,balllo01
Wayne Ellington,ellinwa01
Isaiah Thomas,thomais02
Karl-Anthony Towns,townska01
Ben Simmons,simmobe01
Joel Embiid,embiijo01
Spencer Hawes,hawessp01
Josh McRoberts,mcrobjo01
Ish Smith,smithis01
Alan Williams,willial03
Shelvin Mack,macksh01
Milos Teodosic,teodomi01
Ersan Ilyasova,ilyaser01
Dewayne Dedmon,dedmode01
Tyler Johnson,johnsty01
Wesley Johnson,johnswe01
Alex Abrines,abrinal01
Jayson Tatum,tatumja01
D'Angelo Russell,russeda01
Brandon Ingram,ingrabr01
Patrick Beverley,beverpa01
Aaron Gordon,gordoaa01
Deron Williams,willide01
Josh Smith,smithjo03
Thabo Sefolosha,sefolth01
Jason Smith,smithja02
Ben McLemore,mclembe01
Patrick Patterson,pattepa01
Nick Young,youngni01
Brandan Wright,wrighbr03
Josh Jackson,jacksjo02
Marcus Morris,morrima03
Dirk Nowitzki,nowitdi01
Greg Monroe,monrogr01
Mike Muscala,muscami01
Jahlil Okafor,okafoja01
Dante Exum,exumda01
Alexis Ajinca,ajincal01
Jaylen Brown,brownja02
Jameer Nelson,nelsoja01
Kyle Singler,singlky01
Justin Holiday,holidju01
De'Aaron Fox,foxde01
Marcus Smart,smartma01
Kristaps Porzingis,porzikr01
Dragan Bender,bendedr01
Devin Harris,harride01
Ron Baker,bakerro01
Jamal Crawford,crawfja01
Aron Baynes,baynear01
Alex Len,lenal01
Nerlens Noel,noelne01
Jonathan Isaac,isaacjo01
Lance Stephenson,stephla01
Julius Randle,randlju01
Kyle O'Quinn,oquinky01
Mario Hezonja,hezonma01
Kris Dunn,dunnkr01
Jonas Jerebko,jerebjo01
Nemanja Bjelica,bjeline01
J.J. Barea,bareajo01
Quincy Pondexter,pondequ01
Lauri Markkanen,markkla01
Nik Stauskas,stausni01
Willie Cauley-Stein,caulewi01
Buddy Hield,hieldbu01
Will Barton,bartowi01
Noah Vonleh,vonleno01
Frank Ntilikina,ntilila01
Nene Hilario,hilarne01
Zaza Pachulia,pachuza01
Troy Daniels,danietr01
Emmanuel Mudiay,mudiaem01
Jamal Murray,murraja01
Elfrid Payton,paytoel01
Rajon Rondo,rondora01
Doug McDermott,mcderdo01
Jodie Meeks,meeksjo01
Tyreke Evans,evansty01
Tarik Black,blackta01
Anthony Tolliver,tollian01
Dennis Smith,smithde03
Zach LaVine,lavinza01
Ekpe Udoh,udohek01
T.J. Warren,warretj01
Stanley Johnson,johnsst04
Marquese Chriss,chrisma01
Zach Collins,colliza01
James Ennis,ennisja01
Seth Curry,curryse01
