Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-17,,BOS,W,102,99,38,83,.458,5,22,.227,21,25,.840,9,50,19,3,4,17,25,,36,88,.409,8,32,.250,19,25,.760,9,46,24,11,4,10,24
2,2,2017-10-20,@,MIL,W,116,97,44,81,.543,11,26,.423,17,17,1.000,9,44,25,8,3,17,10,,38,82,.463,11,35,.314,10,12,.833,8,30,23,9,2,14,17
3,3,2017-10-21,,ORL,L,93,114,33,86,.384,7,25,.280,20,27,.741,11,44,15,4,7,16,14,,40,90,.444,17,35,.486,17,20,.850,12,50,28,7,6,12,28
4,4,2017-10-24,,CHI,W,119,112,43,83,.518,16,38,.421,17,22,.773,8,39,28,5,3,9,14,,42,88,.477,17,33,.515,11,13,.846,8,39,28,3,3,9,20
5,5,2017-10-25,@,BRK,L,107,112,39,81,.481,12,35,.343,17,26,.654,9,47,21,5,7,21,17,,40,93,.430,17,46,.370,15,21,.714,10,38,22,11,3,12,22
6,6,2017-10-28,@,NOP,L,101,123,36,78,.462,12,32,.375,17,23,.739,5,37,19,8,2,18,19,,49,95,.516,13,33,.394,12,16,.750,10,47,33,10,4,11,20
7,7,2017-10-29,,NYK,L,95,114,31,81,.383,10,33,.303,23,27,.852,7,41,20,5,5,15,23,,42,89,.472,13,28,.464,17,21,.810,11,51,27,9,6,14,26
8,8,2017-11-01,,IND,L,107,124,43,86,.500,7,31,.226,14,20,.700,8,41,25,6,3,16,19,,49,90,.544,16,26,.615,10,13,.769,8,43,35,9,1,11,23
9,9,2017-11-03,@,WAS,W,130,122,46,82,.561,12,27,.444,26,28,.929,8,34,20,11,4,14,27,,45,84,.536,11,28,.393,21,31,.677,9,37,25,5,2,16,24
10,10,2017-11-05,,ATL,L,115,117,42,96,.438,10,36,.278,21,23,.913,15,47,27,6,6,13,29,,41,86,.477,11,25,.440,24,34,.706,11,44,24,4,6,17,20
