Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-19,,LAC,L,92,108,37,91,.407,4,16,.250,14,23,.609,12,52,21,8,7,19,15,,42,107,.393,12,33,.364,12,13,.923,17,59,23,12,3,14,20
2,2,2017-10-20,@,PHO,W,132,130,48,93,.516,12,26,.462,24,33,.727,5,42,22,8,3,18,31,,45,92,.489,14,29,.483,26,38,.684,10,50,17,8,9,19,25
3,3,2017-10-22,,NOP,L,112,119,44,90,.489,9,27,.333,15,20,.750,9,38,27,7,6,17,24,,47,83,.566,10,32,.313,15,21,.714,6,42,26,14,5,18,20
4,4,2017-10-25,,WAS,W,102,99,41,92,.446,7,30,.233,13,16,.813,6,53,27,9,5,21,26,,39,95,.411,6,26,.231,15,23,.652,7,45,20,11,5,13,19
5,5,2017-10-27,,TOR,L,92,101,36,79,.456,3,23,.130,17,24,.708,9,49,20,7,6,21,22,,40,93,.430,7,29,.241,14,20,.700,9,40,27,12,4,12,24
6,6,2017-10-28,@,UTA,L,81,96,31,81,.383,5,22,.227,14,20,.700,14,39,17,12,4,16,20,,37,79,.468,13,31,.419,9,13,.692,14,49,18,9,5,21,20
7,7,2017-10-31,,DET,W,113,93,45,91,.495,12,26,.462,11,14,.786,11,53,30,9,5,14,14,,41,94,.436,10,33,.303,1,3,.333,10,44,21,7,3,12,11
8,8,2017-11-02,@,POR,L,110,113,43,79,.544,4,18,.222,20,27,.741,2,32,16,8,8,11,20,,40,86,.465,9,22,.409,24,27,.889,10,41,22,7,4,12,21
9,9,2017-11-03,,BRK,W,124,112,48,94,.511,9,21,.429,19,27,.704,7,57,26,10,7,16,29,,37,91,.407,9,38,.237,29,38,.763,8,43,23,8,5,16,22
10,10,2017-11-05,,MEM,W,107,102,40,85,.471,9,27,.333,18,23,.783,8,46,25,5,4,16,16,,40,87,.460,11,37,.297,11,14,.786,6,39,23,6,7,12,22
