Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-19,,CHI,W,117,100,39,83,.470,13,29,.448,26,28,.929,13,49,26,10,4,17,19,,37,89,.416,10,32,.313,16,19,.842,10,39,22,7,2,19,23
2,2,2017-10-21,,PHI,W,128,94,42,89,.472,13,44,.295,31,37,.838,8,51,23,5,10,13,29,,32,82,.390,8,24,.333,22,36,.611,8,41,18,5,4,20,26
3,3,2017-10-23,@,SAS,L,97,101,34,80,.425,10,37,.270,19,24,.792,5,34,17,11,4,14,30,,40,90,.444,5,20,.250,16,23,.696,18,55,19,4,12,20,22
4,4,2017-10-25,@,GSW,L,112,117,43,94,.457,8,34,.235,18,19,.947,17,42,30,10,6,16,16,,43,77,.558,12,26,.462,19,22,.864,6,37,32,10,7,17,15
5,5,2017-10-27,@,LAL,W,101,92,40,93,.430,7,29,.241,14,20,.700,9,40,27,12,4,12,24,,36,79,.456,3,23,.130,17,24,.708,9,49,20,7,6,21,22
6,6,2017-10-30,@,POR,W,99,85,39,87,.448,8,24,.333,13,17,.765,8,47,17,10,9,9,14,,31,80,.388,8,26,.308,15,19,.789,6,38,13,5,7,13,15
7,7,2017-11-01,@,DEN,L,111,129,42,85,.494,11,31,.355,16,25,.640,9,38,20,7,4,13,25,,47,88,.534,16,32,.500,19,29,.655,9,43,35,9,4,12,20
8,8,2017-11-03,@,UTA,W,109,100,38,71,.535,11,30,.367,22,28,.786,5,39,20,9,4,16,27,,35,80,.438,8,23,.348,22,24,.917,10,33,11,9,5,13,25
9,9,2017-11-05,,WAS,L,96,107,37,80,.463,5,24,.208,17,27,.630,9,36,17,7,8,13,24,,40,85,.471,11,23,.478,16,23,.696,11,46,19,9,3,17,26
10,10,2017-11-07,,CHI,W,119,114,44,81,.543,13,25,.520,18,24,.750,7,37,22,5,0,15,22,,40,80,.500,11,29,.379,23,28,.821,8,37,26,10,2,13,23
11,11,2017-11-09,,NOP,W,122,118,45,98,.459,16,42,.381,16,23,.696,10,48,27,8,4,12,24,,44,82,.537,13,31,.419,17,25,.680,4,38,31,7,4,13,20
12,12,2017-11-12,@,BOS,L,94,95,32,69,.464,10,24,.417,20,23,.870,6,36,18,8,8,17,20,,35,87,.402,10,26,.385,15,19,.789,15,46,24,9,2,14,18
13,13,2017-11-14,@,HOU,W,129,113,41,78,.526,14,30,.467,33,42,.786,5,36,28,11,4,12,30,,33,79,.418,12,39,.308,35,41,.854,14,48,21,4,4,19,27
14,14,2017-11-15,@,NOP,W,125,116,45,76,.592,16,34,.471,19,20,.950,6,37,27,8,6,21,20,,46,91,.505,10,27,.370,14,14,1.000,10,32,31,13,3,14,21
15,15,2017-11-17,,NYK,W,107,84,44,78,.564,9,26,.346,10,11,.909,3,40,29,4,11,12,19,,30,91,.330,9,23,.391,15,17,.882,14,43,17,7,4,9,12
16,16,2017-11-19,,WAS,W,100,91,40,90,.444,10,39,.256,10,14,.714,11,48,20,8,7,7,19,,34,81,.420,11,19,.579,12,21,.571,8,43,20,5,3,14,12
